@@184184	##	fo
Swimming	swim	nn1_vvg
Crawfish	crawfish	nn1_np1
<P>	<p>	null	
For	for	if
60	60	mc
crawfish	crawfish	nn1
prepare	prepare	vv0
a	a	at1
bouillon	bouillon	nn1
with	with	iw
2	2	mc
cups	cup	vvz_nn2
dry	dry	jj_vv0@
white	white	jj
wine	wine	nn1
,	,	y
cup	cup	nn1
cognac	cognac	nn1
,	,	y
3	3	mc
large	large	jj
carrots	carrot	nn2
and	and	cc
one	one	mc1
large	large	jj
onion	onion	nn1
cut	cut	vvn_nn1
in	in	ii
thin	thin	jj
slices	slice	nn2
,	,	y
1	1	mc1
teaspoon	teaspoon	nn1
salt	salt	nn1
,	,	y
a	a	at1
pinch	pinch	nn1
of	of	io
cayenne	cayenne	nn1
and	and	cc
3	3	mc
chopped	chopped	jj
shallots	shallot	nn2
.	.	y
Boil	boil	vv0_nn1@
covered	cover	vvn_jj@
for	for	if
hour	hour	nnt1
.	.	y
Then	then	rt
put	put	vvn_vvd_vv0
in	in	ii
crawfish	crawfish	nn1
and	and	cc
boil	boil	vv0
for	for	if
10	10	mc
minutes	minute	nnt2
,	,	y
turning	turn	vvg
them	them	ppho2
about	about	rg
three	three	mc
or	or	cc
four	four	mc
times	time	nnt2
.	.	y
Serve	serve	vv0
hot	hot	jj
,	,	y
cold	cold	jj_nn1
or	or	cc
tepid	tepid	jj
.	.	y
