@@234454	##	fo
INDOCHINA	indochina	np1
<P>	<p>	null	
The	the	at
Vietnamese	vietnamese	jj
Minister	minister	nn1
for	for	if
Information	information	nn1
,	,	y
Le	le	np1
Thang	thang	np1
,	,	y
was	be	vbdz
helpfully	helpfully	rr
trying	try	vvg
to	to	to
explain	explain	vvi
the	the	at
situation	situation	nn1
in	in	ii
Indo-China	indo-china	np1
as	as	csa
he	he	pphs1
saw	see	vvd
it	it	pph1
.	.	y
"	"	"
The	the	at
trouble	trouble	nn1
here	here	rl
,	,	y
"	"	"
he	he	pphs1
said	say	vvd
,	,	y
"	"	"
is	be	vbz
that	that	cst
the	the	at
average	average	jj_nn1
Vietnamese	vietnamese	jj
does	do	vdz
n't	n't	xx
want	want	vvi
the	the	at
U.S.	u.s.-	np1
to	to	to
come	come	vvi
in	in	rp@
because	because	cs
he	he	pphs1
's	be	vbz
afraid	afraid	jj
of	of	io
atomic	atomic	jj
bombs	bomb	nn2
.	.	y
He	he	pphs1
does	do	vdz
n't	n't	xx
want	want	vvi
the	the	at
Communists	communist	nn2
because	because	cs
he	he	pphs1
's	be	vbz
afraid	afraid	jj
of	of	io
China	china	np1_nn1@
.	.	y
He	he	pphs1
does	do	vdz
n't	n't	xx
want	want	vvi
the	the	at
French	french	jj_nn1
to	to	to
stay	stay	vvi
because	because	cs
they	they	pphs2
're	be	vbr
colonialists	colonialist	nn2
.	.	y
He	he	pphs1
wants	want	vvz
a	a	at1
strong	strong	jj
Vietnamese	vietnamese	jj
government	government	nn1
,	,	y
but	but	ccb
not	not	xx
mobilization	mobilization	nn1
.	.	y
He	he	pphs1
does	do	vdz
n't	n't	xx
want	want	vvi
elections	election	nn2
because	because	cs
the	the	at
Communists	communist	nn2
might	might	vm
win	win	vvi
.	.	y
"	"	"
