@@184091	##	fo
After	after	cs_ii
the	the	at
Providence	providence	np1
Journal-Bulletin	journal-bulletin	np1
discovered	discover	vvd
eleven	eleven	mc
Boston	boston	np1
sportswriters	sportswriter	nn2
on	on	ii
the	the	at
payrolls	payroll	nn2
of	of	io
New	new	np1
England	england	np1
race	race	nn1
tracks	track	nn2
(	(	y
TIME	time	nnt1
,	,	y
April	april	npm1
26	26	mc
)	)	y
,	,	y
the	the	at
J-B	j-b	np1
dug	dig	vvd
deeper	deeper	rrr_jjr
.	.	y
Last	last	md
week	week	nnt1
it	it	pph1
uncovered	uncover	vvd
15	15	mc
additional	additional	jj
newsmen	newsman	nn2
working	work	vvg
part	part	nn1
time	time	nnt1
for	for	if
the	the	at
tracks	track	nn2
.	.	y
More	more	rgr_dar
important	important	jj
,	,	y
it	it	pph1
turned	turn	vvd
up	up	rp
ten	ten	mc
newsmen	newsman	nn2
on	on	ii
the	the	at
staffs	staffs	nn2
of	of	io
four	four	mc
Boston	boston	np1
dailies	daily	nn2
who	who	pnqs
were	be	vbdr
also	also	rr
on	on	ii
the	the	at
state	state	nn1
payroll	payroll	nn1
and	and	cc
had	have	vhd
received	receive	vvn
$60,000	$60,000	nnu
for	for	if
"	"	"
services	service	nn2
ranging	range	vvg
from	from	ii
issuing	issuing	jj_vvg_nn1
publicity	publicity	nn1
releases	release	vvz_nn2
to	to	ii
working	work	vvg
on	on	rp@_ii
politically	politically	rr
appointed	appoint	vvn_jj@
state	state	nn1_vv0
commissions	commission	nn2
.	.	y
"	"	"
One	one	mc1
of	of	io
the	the	at
political	political	jj
reporters	reporter	nn2
,	,	y
said	say	vvd
the	the	at
JB	jb	np1
,	,	y
actually	actually	rr
has	have	vhz
civil-service	civil-service	jj
status	status	nn1
.	.	y
Most	most	dat
of	of	io
the	the	at
Boston	boston	np1
dailies	daily	nn2
shrugged	shrug	vvd_vvn@
off	off	ii_rp
the	the	at
J-B	j-b	np1
's	's	ge
charge	charge	nn1
,	,	y
saw	see	vvd
"	"	"
no	no	at
conflict	conflict	nn1
of	of	io
interest	interest	nn1
.	.	y
"	"	"
