@@241223	##	fo
Liberalization	liberalization	nn1	
of	of	io
the	the	at
hidebound	hidebound	jj
Spanish	spanish	jj
church	church	nn1
seemed	seem	vvd
to	to	to
get	get	vvi
strong	strong	jj
backing	backing	nn1
last	last	md
week	week	nnt1
from	from	ii
Pope	pope	nnb
Pius	piu	np1
XII	xii	mc
.	.	y
In	in	ii
a	a	at1
speech	speech	nn1
that	that	cst
sounded	sound	vvd
like	like	ii
an	an	at1
endorsement	endorsement	nn1
of	of	io
Spain	spain	np1
's	's	ge
liberal	liberal	jj_nn1@
,	,	y
fast-increasing	fast-increasing	jj_nn1
Opus	opus	np1_nn1
Dei	dei	np1
organization	organization	nn1
(	(	y
TIME	time	nnt1
.	.	y
March	march	npm1
18	18	mc
)	)	y
,	,	y
the	the	at
Pope	pope	np1_nn1
urged	urge	vvd_vvn
a	a	at1
group	group	nn1
of	of	io
newly	newly	rr
ordained	ordained	jj_vvn
Spanish	spanish	jj
priests	priest	nn2
to	to	to
foster	foster	vvi
a	a	at1
"	"	"
higher	high	jjr
grade	grade	nn1
of	of	io
generous	generous	jj
catholicity	catholicity	nn1
"	"	"
and	and	cc
to	to	to
incorporate	incorporate	vvi
the	the	at
church	church	nn1
"	"	"
more	more	rrr_rgr
and	and	cc
more	more	rgr
resolutely	resolutely	rr
in	in	ii
those	those	dd2
currents	current	nn2
of	of	io
mutual	mutual	jj
cooperation	cooperation	nn1
in	in	ii
which	which	ddq
many	many	da2
persons	person	nn2
today	today	rt
see	see	vv0
the	the	at
future	future	nn1_jj
and	and	cc
salvation	salvation	nn1
of	of	io
the	the	at
world	world	nn1
.	.	y
"	"	"
He	he	pphs1
reminded	remind	vvd
them	them	ppho2
that	that	cst
Spain	spain	np1
,	,	y
"	"	"
although	although	cs
placed	place	vvn
in	in	ii
a	a	at1
corner	corner	nn1
of	of	io
this	this	dd1
old	old	jj
Europe	europe	np1
,	,	y
is	be	vbz
conscious	conscious	jj
that	that	cst
today	today	rt
already	already	rr
the	the	at
trumpets	trumpet	nn2
are	be	vbr
sounding	sound	vvg
in	in	ii_rp@
a	a	at1
world	world	nn1
that	that	cst_dd1
must	must	vm
throw	throw	vvi
down	down	ii
the	the	at
cracked	cracked	jj
walls	wall	nn2
of	of	io
puny	puny	jj
particularism	particularism	nn1
.	.	y
"	"	"
The	the	at
priests	priest	nn2
,	,	y
said	say	vvd
the	the	at
Pope	pope	nn1_np1
,	,	y
should	should	vm
foster	foster	vvi
a	a	at1
"	"	"
Catholic	catholic	jj_nn1
spirit	spirit	nn1
that	that	cst_dd1
is	be	vbz
...	....	...
capable	capable	jj
of	of	io
surpassing	surpass	vvg
itself	itself	ppx1
to	to	to
reach	reach	vvi
others	other	nn2
better	better	rrr
without	without	iw
prejudice	prejudice	nn1
toward	toward	ii
anyone	anyone	pn1
...	....	...
"	"	"
