@@192177	##	fo
Mexican	mexican	jj
Artist	artist	nn1
Jos	jos	np1
Gutierrez	gutierrez	np1
,	,	y
an	an	at1
instructor	instructor	nn1
at	at	ii
the	the	at
National	national	jj
Polytechnic	polytechnic	nn1
Institute	institute	nn1
,	,	y
has	have	vhz
experimented	experiment	vvn
with	with	iw
every	every	at1
kind	kind	nn1
of	of	io
medium	medium	nn1_jj
from	from	ii
ordinary	ordinary	jj
house	house	nn1
paint	paint	nn1_vv0
to	to	ii
the	the	at
newest	new	jjt
plastics	plastic	nn2
to	to	to
determine	determine	vvi
which	which	ddq
can	can	vm
best	best	rrt
withstand	withstand	vvi
the	the	at
elements	element	nn2
.	.	y
Last	last	md
week	week	nnt1
Gutierrez	gutierrez	np1
made	make	vvd
a	a	at1
gloomy	gloomy	jj
prediction	prediction	nn1
about	about	ii
Diego	diego	np1
Rivera	rivera	np1
's	's	ge
latest	late	jjt
mural	mural	nn1
in	in	ii
the	the	at
water	water	nn1
distribution	distribution	nn1
chamber	chamber	nn1
of	of	io
Mexico	mexico	np1
City	city	nn1
's	's	ge
new	new	jj
water	water	nn1
system	system	nn1
(	(	y
TIME	time	nnt1
,	,	y
June	june	npm1
4	4	mc
)	)	y
.	.	y
<P>	<p>	null	
Gutierrez	gutierrez	np1@_nn1
'	'	ge
forecast	forecast	nn1
:	:	y
with	with	iw
140	140	mc
million	million	m
gallons	gallon	nnu2
of	of	io
water	water	nn1
rushing	rush	vvg
past	past	rl_ii
it	it	pph1
every	every	at1
day	day	nnt1
,	,	y
the	the	at
submerged	submerge	jj
part	part	nn1
of	of	io
Rivera	rivera	np1
's	's	ge
mural	mural	nn1
will	will	vm
completely	completely	rr
disappear	disappear	vvi
within	within	ii
ten	ten	mc
years	year	nnt2
.	.	y
Diego	diego	np1
's	's	ge
comment	comment	nn1
:	:	y
"	"	"
Tell	tell	vv0
him	him	ppho1
to	to	to
go	go	vvi
to	to	ii
hell	hell	nn1
.	.	y
"	"	"
