@@231453	##	fo
In	in	ii
stiff	stiff	jj
diplomatic	diplomatic	jj
notes	note	nn2_vvz
the	the	at
U.S.	u.s.-	np1
,	,	y
Britain	britain	np1
and	and	cc
France	france	np1
had	have	vhd
demanded	demand	vvn
that	that	cst
Moscow	moscow	np1
disband	disband	vv0
Eastern	eastern	jj
Germany	germany	np1
's	's	ge
"	"	"
People	people	nn
's	's	ge
Police	police	nn2
,	,	y
"	"	"
which	which	ddq
is	be	vbz
armed	arm	vvn
with	with	iw
howitzers	howitzer	nn2
,	,	y
antiaircraft	antiaircraft	vv0_nn1
guns	gun	nn2
and	and	cc
tanks	tank	nn2
,	,	y
generally	generally	rr
has	have	vhz
"	"	"
the	the	at
character	character	nn1
of	of	io
an	an	at1
army	army	nn1
"	"	"
(	(	y
TIME	time	nnt1
,	,	y
June	june	npm1
12	12	mc
)	)	y
.	.	y
Last	last	md
week	week	nnt1
the	the	at
Western	western	jj
Allies	ally	nn2
got	get	vvd_vvn
their	their	appge
answer	answer	nn1
.	.	y
Eastern	eastern	jj
Germany	germany	np1
's	's	ge
Communist	communist	jj
puppet	puppet	nn1_jj@
government	government	nn1
announced	announce	vvd_vvn
that	that	cst
it	it	pph1
would	would	vm
add	add	vvi
a	a	at1
new	new	jj
branch	branch	nn1
to	to	ii
its	its	appge
treaty-violating	treaty-violating	jj_nn1	
military	military	jj
force	force	nn1
:	:	y
a	a	at1
"	"	"
People	people	nn
's	's	ge
Navy	navy	nn1
Police	police	nn2
.	.	y
"	"	"
The	the	at
Red	red	jj
mariners	mariner	nn2
,	,	y
said	say	vvd
the	the	at
announcement	announcement	nn1
,	,	y
will	will	vm
have	have	vhi
the	the	at
task	task	nn1
of	of	io
protecting	protect	vvg_jj@
fishing	fishing	nn1
fleets	fleet	nn2
,	,	y
fighting	fight	vvg
smugglers	smuggler	nn2
along	along	ii
Germany	germany	np1
's	's	ge
Baltic	baltic	jj
coast	coast	nn1
,	,	y
and	and	cc
safeguarding	safeguard	vvg
"	"	"
democratic	democratic	jj
achievements	achievement	nn2
.	.	y
"	"	"
