@@193069	##	fo
Injured	injure	vvn_vvd	
in	in	ii
a	a	at1
factory	factory	nn1
accident	accident	nn1
in	in	ii
1943	1943	mc
,	,	y
Engineer	engineer	nn1_vv0@
Robert	robert	np1
Steger	steger	np1
survived	survive	vvd
an	an	at1
operation	operation	nn1
for	for	if
removal	removal	nn1
of	of	io
a	a	at1
blood	blood	nn1
clot	clot	nn1_vv0
from	from	ii
his	his	appge
brain	brain	nn1
,	,	y
but	but	ccb
never	never	rr
regained	regain	vvn_vvd
consciousness	consciousness	nn1
.	.	y
In	in	ii
Cincinnati	cincinnati	np1
's	's	ge
Bethesda	bethesda	np1
Hospital	hospital	nn1
,	,	y
he	he	pphs1
was	be	vbdz
fed	feed	vvn
through	through	ii
a	a	at1
tube	tube	nn1
,	,	y
gained	gain	vvd_vvn
weight	weight	nn1
,	,	y
and	and	cc
seemed	seem	vvd
not	not	xx
to	to	to
age	age	vvi
.	.	y
Last	last	md
week	week	nnt1
,	,	y
after	after	ii_cs
what	what	ddq
appeared	appear	vvd
to	to	to
be	be	vbi
the	the	at
longest	long	jjt
coma	coma	nn1
in	in	ii
medical	medical	jj
history	history	nn1
,	,	y
Steger	steger	np1
,	,	y
52	52	mc
,	,	y
died	die	vvd_vvn@
from	from	ii
"	"	"
deterioration	deterioration	nn1
caused	cause	vvn
by	by	ii
inactivity	inactivity	nn1
.	.	y
"	"	"
