@@232152	##	fo
For	for	if
the	the	at
past	past	jj
six	six	mc
weeks	week	nnt2
,	,	y
the	the	at
world	world	nn1
's	's	ge_vbz
five	five	mc
leading	leading	jj_vvg
atomic	atomic	jj
powers	power	nn2
(	(	y
the	the	at
U.S.	u.s.-	np1
,	,	y
Russia	russia	np1
,	,	y
Britain	britain	np1
,	,	y
France	france	np1
and	and	cc
Canada	canada	np1
)	)	y
have	have	vh0
been	be	vbn
meeting	meet	vvg
privately	privately	rr
in	in	ii
London	london	np1
at	at	ii
the	the	at
U.N	un	np1
.	.	y
'	'	"@_ge
s	s	zz1
request	request	nn1_vv0
.	.	y
The	the	at
hope	hope	nn1
:	:	y
that	that	dd1
free	free	jj
of	of	io
the	the	at
need	need	nn1
to	to	to
take	take	vvi
public	public	jj_nn1
positions	position	nn2
,	,	y
they	they	pphs2
might	might	vm
hammer	hammer	vvi
out	out	rp
some	some	dd
agreement	agreement	nn1
on	on	ii
atomic	atomic	jj
disarmament	disarmament	nn1
.	.	y
With	with	iw
the	the	at
support	support	nn1
of	of	io
the	the	at
U.S.	u.s.-	np1
and	and	cc
Canada	canada	np1
,	,	y
Britain	britain	np1
and	and	cc
France	france	np1
proposed	propose	vvd
:	:	y
1	1	mc1
)	)	y
a	a	at1
ban	ban	nn1
on	on	ii
the	the	at
use	use	nn1
of	of	io
nuclear	nuclear	jj
weapons	weapon	nn2
"	"	"
except	except	cs_vv0%_ii
in	in	ii
defense	defense	nn1
against	against	ii
aggression	aggression	nn1
,	,	y
"	"	"
followed	follow	vvn
by	by	ii
2	2	mc
)	)	y
fool	fool	vv0_nn1_jj@
proof	proof	nn1_jj%
international	international	jj
control	control	nn1
and	and	cc
inspection	inspection	nn1
,	,	y
3	3	mc
)	)	y
step-by-step	step-by-step	jj_nn1
disarmament	disarmament	nn1
.	.	y
<P>	<p>	null	
The	the	at
Russians	russian	nn2
held	hold	vvd_vvn
out	out	rp
stonily	stonily	rr
for	for	if
unconditional	unconditional	jj
prohibition	prohibition	nn1
of	of	io
atomic	atomic	jj
weapons	weapon	nn2
,	,	y
guaranteed	guarantee	vvn
by	by	ii
no	no	pn121
one	one	pn122
;	;	y
they	they	pphs2
would	would	vm
tolerate	tolerate	vvi
no	no	at
international	international	jj
inspectors	inspector	nn2
behind	behind	ii
the	the	at
Iron	iron	nn1
Curtain	curtain	nn1
,	,	y
for	for	if
that	that	dd1
might	might	vm
disclose	disclose	vvi
'	'	ge
intelligence	intelligence	nn1
information	information	nn1
.	.	y
"	"	"
<P>	<p>	null	
This	this	dd1
week	week	nnt1
the	the	at
five	five	mc
reported	report	vvd
:	:	y
complete	complete	jj_vv0
failure	failure	nn1
.	.	y
