@@266875	##	fo
Letting	let	vvg
his	his	appge
fins	fin	nn2
down	down	rp
,	,	y
Clare	clare	np1
Briggs	briggs	np1
,	,	y
Chrysler	chrysler	np1
Corp	corp	nn1
.	.	y
vice	vice	jj_ii_nn1
president	president	nn1
,	,	y
last	last	md
week	week	nnt1
issued	issue	vvd_vvn
some	some	dd
plain	plain	jj_nn1
talk	talk	nn1
on	on	ii
what	what	ddq
is	be	vbz
wrong	wrong	jj_rr@
with	with	iw
the	the	at
auto	auto	nn1
business	business	nn1
.	.	y
"	"	"
Many	many	da2
salesmen	salesman	nn2
do	do	vd0
n't	n't	xx
know	know	vvi
how	how	rrq
to	to	to
sell	sell	vvi
,	,	y
"	"	"
he	he	pphs1
said	say	vvd
,	,	y
auto	auto	nn1
service	service	nn1
is	be	vbz
bad	bad	jj
,	,	y
and	and	cc
the	the	at
quality	quality	nn1
of	of	io
cars	car	nn2
is	be	vbz
"	"	"
not	not	xx
as	as	rg
good	good	jj
as	as	csa
ten	ten	mc
years	year	nnt2
ago	ago	ra
.	.	y
"	"	"
The	the	at
auto	auto	nn1
industry	industry	nn1
,	,	y
admitted	admit	vvd
Briggs	briggs	np1
,	,	y
"	"	"
has	have	vhz
treated	treat	vvn
the	the	at
public	public	nn1_jj
badly	badly	rr
,	,	y
to	to	to
say	say	vvi
it	it	pph1
mildly	mildly	rr
.	.	y
"	"	"
