@@192875	##	fo
Political	political	jj
Geiger	geiger	np1
counters	counter	nn2
quivered	quiver	vvd_vvn@
in	in	ii
West	west	np1
Berlin	berlin	np1
last	last	md
week	week	nnt1
.	.	y
A	a	at1_zz1
political	political	jj
refugee	refugee	nn1
who	who	pnqs
slipped	slip	vvd
across	across	ii
the	the	at
line	line	nn1
from	from	ii
East	east	np1
Germany	germany	np1
was	be	vbdz
identified	identify	vvn
as	as	csa_ii@
Lieut	lieut	np1_nn1
.	.	y
Colonel	colonel	nnb
Fedor	fedor	np1
Nikolaevich	nikolaevich	np1
Astakhov	astakhov	np1	
of	of	io
the	the	at
Red	red	jj
army	army	nn1
.	.	y
Astakhov	astakhov	np1	
is	be	vbz
a	a	at1
geological	geological	jj
wizard	wizard	nn1_jj
,	,	y
a	a	at1
winner	winner	nn1
of	of	io
the	the	at
Stalin	stalin	np1
Prize	prize	nn1
,	,	y
and	and	cc
until	until	ii
recently	recently	rr
in	in	ii31
charge	charge	ii32
of	of	ii33
all	all	db
technical	technical	jj
operations	operation	nn2
in	in	ii
the	the	at
Russian-run	russian-run	jj_nn1	
uranium	uranium	nn1
mines	mine	nn2
in	in	ii
southeastern	southeastern	jj
Germany	germany	np1
.	.	y
Allied	allied	jj
intelligence	intelligence	nn1
would	would	vm
not	not	xx
confirm	confirm	vvi
,	,	y
but	but	ccb
did	do	vdd
not	not	xx
deny	deny	vvi
,	,	y
that	that	cst
the	the	at
new	new	jj
Soviet	soviet	jj
"	"	"
defector	defector	nn1
of	of	io
colonel	colonel	nn1
's	's	ge
rank	rank	nn1
"	"	"
is	be	vbz
Astakhov	astakhov	np1	
.	.	y
If	if	cs
he	he	pphs1
is	be	vbz
,	,	y
the	the	at
West	west	nd1
has	have	vhz
found	find	vvn
a	a	at1
source	source	nn1
of	of	io
atomic	atomic	jj
intelligence	intelligence	nn1
as	as	rg
useful	useful	jj
as	as	csa
Britain	britain	np1
's	's	ge_vbz
missing	missing	jj_vvg
Bruno	bruno	np1
Pontecorvo	pontecorvo	np1_nn1
presumably	presumably	rr
is	be	vbz
to	to	ii
the	the	at
Russians	russian	nn2
.	.	y
