@@186887	##	fo
The	the	at
top-drawing	top-drawing	jj_nn1	
movies	movie	nn2
in	in	ii
the	the	at
U.S.	u.s.-	np1
last	last	md
month	month	nnt1
,	,	y
as	as	csa
reported	report	vvn
by	by	ii
Variety	variety	nn1
:	:	y
<P>	<p>	null	
1	1	mc1
)	)	y
Gunfight	gunfight	vv0_nn1
at	at	ii
the	the	at
O.K.	o.k.-	jj@_rr
Corral	corral	np1
(	(	y
Hal	hal	np1
Wallis	wallis	np1
;	;	y
Paramount	paramount	np1
)	)	y
<P>	<p>	null	
2	2	mc
)	)	y
Around	around	ii
the	the	at
World	world	nn1
in	in	ii
80	80	mc
Days	day	nnt2
(	(	y
Mike	mike	np1
Todd	todd	np1
;	;	y
United	united	jj
Artists	artist	nn2
)	)	y
<P>	<p>	null	
3	3	mc
)	)	y
Island	island	nn1
in	in	ii
the	the	at
Sun	sun	nn1
(	(	y
Darryl	darryl	np1
Zanuck	zanuck	np1_nn1
;	;	y
20th	20th	md
Century-Fox	century-fox	np1
)	)	y
<P>	<p>	null	
4	4	mc
)	)	y
The	the	at
Seven	seven	mc
Wonders	wonder	nn2
of	of	io
the	the	at
World	world	nn1
(	(	y
Independent	independent	np1
)	)	y
<P>	<p>	null	
5	5	mc
)	)	y
The	the	at
Ten	ten	mc
Commandments	commandment	nn2
(	(	y
Paramount	paramount	np1
)	)	y
<P>	<p>	null	
6	6	mc
)	)	y
The	the	at
D.I	d.i	mc
.	.	y
(	(	y
Warner	warner	np1
)	)	y
<P>	<p>	null	
7	7	mc
)	)	y
The	the	at
Little	little	jj
Hut	hut	nn1
(	(	y
MGM	mgm	np1_nnu%
)	)	y
<P>	<p>	null	
8	8	mc
)	)	y
Desk	desk	nn1
Set	set	nn1_vvn
(	(	y
20th	20th	md
Century-Fox	century-fox	np1
)	)	y
<P>	<p>	null	
9	9	mc
)	)	y
The	the	at
Wayward	wayward	jj@_np1
Bus	bus	nn1
(	(	y
20th	20th	md
Century-Fox	century-fox	np1
)	)	y
<P>	<p>	null	
10	10	mc
)	)	y
A	a	zz1
Face	face	vv0_nn1
in	in	ii
the	the	at
Crowd	crowd	nn1
(	(	y
Newtown	newtown	np1
;	;	y
Warner	warner	np1
)	)	y
