@@191476	##	fo
No	no	at
sooner	sooner	rrr
had	have	vhd
New	new	jj
Yorkers	yorkers	np1
heard	hear	vvd
the	the	at
good	good	jj
news	news	nn1
about	about	ii
their	their	appge
water	water	nn1
supply	supply	nn1
than	than	csn
their	their	appge
attention	attention	nn1
was	be	vbdz
wrenched	wrench	vvn@
abruptly	abruptly	rr
skywards	skywards	rl
.	.	y
In	in	ii
three	three	mc
sections	section	nn2
of	of	io
the	the	at
city	city	nn1
,	,	y
a	a	at1
local	local	jj
survey	survey	nn1
showed	show	vvd
last	last	md
week	week	nnt1
,	,	y
soot	soot	nn1
was	be	vbdz
piling	pile	vvg
up	up	rp
twice	twice	rr
as	as	rg
deep	deep	rr_jj
as	as	csa
it	it	pph1
did	do	vdd
in	in	ii
Pittsburgh	pittsburgh	np1
in	in	ii
the	the	at
days	day	nnt2
when	when	rrq
Pittsburgh	pittsburgh	np1
was	be	vbdz
a	a	at1
standard	standard	jj_nn1
joke	joke	nn1
.	.	y
One	one	mc1
expert	expert	nn1
estimated	estimate	vvd_vvn
that	that	cst
the	the	at
annual	annual	jj
fall	fall	nn1
of	of	io
soot	soot	nn1
within	within	ii
a	a	at1
radius	radius	nn1
of	of	io
40	40	mc
miles	mile	nnu2
from	from	ii
New	new	np1
York	york	np1
City	city	nn1
might	might	vm
be	be	vbi
as	as	rg
high	high	jj_rr@
as	as	csa
384,000	384,000	mc	
tons	ton	nnu2
a	a	at1
year	year	nnt1
.	.	y
And	and	cc
what	what	ddq
disturbed	disturb	jj_vvd@
New	new	jj
Yorkers	yorkers	np1_nn2%
most	most	dat
of	of	io
all	all	db
was	be	vbdz
a	a	at1
new	new	jj
test	test	nn1
which	which	ddq
showed	show	vvd
they	they	pphs2
sucked	suck	vvd
in	in	rp@
about	about	rg
185,000	185,000	mc
particles	particle	nn2
of	of	io
dirt	dirt	nn1
at	at	ii
every	every	at1
breath	breath	nn1
,	,	y
including	including	ii_vvg@
large	large	jj
draughts	draught	nn2
of	of	io
such	such	da
unpleasant	unpleasant	jj
byproducts	byproduct	nn2
as	as	csa
arsenic	arsenic	nn1
,	,	y
carbon	carbon	nn1
monoxide	monoxide	nn1
and	and	cc
chlorine	chlorine	nn1
from	from	ii
the	the	at
city	city	nn1
's	's	ge
spewing	spew	vvg_jj@
factory	factory	nn1
chimneys	chimney	nn2
.	.	y
