@@724676	##	fo
txt	txt	nnu
The	the	at
forecast	forecast	nn1
for	for	if
today	today	rt
,	,	y
tonight	tonight	rt
,	,	y
and	and	cc
tomorrow	tomorrow	rt
is	be	vbz
 -- 	--	zz
you	you	ppy
guessed	guess	vvd
it	it	pph1
 -- 	--	nn1_jj
more	more	dar_rrr
snow	snow	nn1
.	.	y
The	the	at
weather	weather	nn1
bureau	bureau	nn1
would	would	vm
only	only	rr
say	say	vvi
that	that	cst
the	the	at
snow	snow	nn1
would	would	vm
be	be	vbi
light	light	jj
but	but	ccb
a	a	at1
spokesman	spokesman	nn1
said	say	vvd
it	it	pph1
probably	probably	rr
will	will	vm
be	be	vbi
steady	steady	jj
and	and	cc
could	could	vm
accumulate	accumulate	vvi
as	as	rg
much	much	da1
as	as	csa
4	4	mc
inches	inch	nnu2_vvz%
today	today	rt
.	.	y
This	this	dd1
would	would	vm
assure	assure	vvi
Chicago	chicago	np1
of	of	io
a	a	at1
new	new	jj
March	march	npm1_nn1%_np1@
snowfall	snowfall	nn1
record	record	nn1
.	.	y
As	as	ii21
of	of	ii22
8	8	mc
o'clock	o'clock	ra
last	last	md
night	night	nnt1
a	a	at1
I	i	mc1%_zz1%
total	total	nn1_jj
of	of	io
21.2	21.2	mc
inches	inch	nnu2
of	of	io
snow	snow	nn1
had	have	vhd
fallen	fall	vvn
at	at	ii
Midway	midway	nn1_np1@
airport	airport	nn1
,	,	y
the	the	at
official	official	jj_nn1
measuring	measure	jj@_vvg
station	station	nn1
,	,	y
so	so	rg
far	far	rr
this	this	dd1
month	month	nnt1
.	.	y
The	the	at
March	march	np1@_npm1_nn1%
record	record	nn1
is	be	vbz
22.4	22.4	mc
inches	inch	nnu2
.	.	y
Forecasters	forecaster	nn2_np1@
said	say	vvd
.	.	y
the	the	at
record	record	nn1
snowfall	snowfall	nn1
for	for	if
an	an	at1
entire	entire	jj
season	season	nnt1
also	also	rr
may	may	vm
be	be	vbi
broken	break	vvn
.	.	y
As	as	ii21
of	of	ii22
8	8	mc
o'clock	o'clock	ra
last	last	md
night	night	nnt1
the	the	at
total	total	nn1_jj
I	i	mc1%_zz1%
snowfall	snowfall	nn1
was	be	vbdz
60	60	mc
inches	inch	nnu2
since	since	cs_ii@
the	the	at
season	season	nnt1
began	begin	vvd
and	and	cc
the	the	at
record	record	nn1
is	be	vbz
66.4	66.4	mc
inches	inch	nnu2
,	,	y
set	set	vvn_vvd_vv0
in	in	ii_rp@
1951-52	1951-52	mcmc
.	.	y
While	while	cs
Chicago	chicago	np1
received	receive	vvd
only	only	rr
1.6	1.6	mc
inches	inch	nnu2_vvz%
yesterday	yesterday	rt
,	,	y
some	some	dd
of	of	io
the	the	at
south	south	nd1
suburbs	suburb	nn2
were	be	vbdr
covered	cover	vvn
with	with	iw
up	up	rg21
to	to	rg22
6	6	mc
inches	inch	nnu2
.	.	y
