@@249698	##	fo
While	while	cs
pouring	pour	vvg
some	some	dd
$2,000,000	$2,000,000	nnu
a	a	at1
day	day	nnt1
into	into	ii
Saigon	saigon	np1
,	,	y
Washington	washington	np1
pressed	press	vvd
on	on	rp@
with	with	iw
a	a	at1
campaign	campaign	nn1
to	to	to
get	get	vvi
South	south	nd1
Viet	viet	np1
Nam	nam	np1
more	more	rgr_rrr
economic	economic	jj
and	and	cc
technical	technical	jj
aid	aid	nn1
from	from	ii
U.S.	u.s.-	np1
allies	ally	nn2_vvz@
.	.	y
Former	former	da
U.S.	u.s.-	np1
Ambassador	ambassador	nn1
to	to	ii
Saigon	saigon	np1
Henry	henry	np1
Cabot	cabot	np1_nn1
Lodge	lodge	nn1
toured	tour	vvd
Europe	europe	np1
on	on	ii31
behalf	behalf	ii32
of	of	ii33
President	president	nnb
Johnson	johnson	np1
's	's	ge
appeal	appeal	nn1
for	for	if
"	"	"
other	other	jj
flags	flag	nn2
"	"	"
in	in	ii
Viet	viet	np1
Nam	nam	np1
,	,	y
reported	report	vvd_vvn
that	that	cst_dd1
possibly	possibly	rr
half	half	db
a	a	at1
dozen	dozen	m
NATO	nato	np1
nations	nation	nn2
are	be	vbr
expected	expect	vvn
to	to	to
chip	chip	nn1_vv0%
in	in	rp@_ii
.	.	y
The	the	at
Dutch	dutch	jj_nn1@
are	be	vbr
considering	consider	ii_rr@_vvg
establishing	establish	vvg_nn1@
scholarships	scholarship	nn2
for	for	if
South	south	np1
Vietnamese	vietnamese	nn_jj@
students	student	nn2
and	and	cc
sending	send	vvg
medical	medical	jj
supplies	supply	nn2
;	;	y
Belgium	belgium	np1
may	may	vm
dispatch	dispatch	vvi
physicians	physician	nn2
and	and	cc
food	food	nn1
.	.	y
Earlier	early	rrr_jjr
,	,	y
twelve	twelve	mc
other	other	jj
countries	country	nn2
had	have	vhd
responded	respond	vvn
with	with	iw
promises	promise	nn2
of	of	io
new	new	jj
or	or	cc
increased	increased	jj
help	help	nn1
,	,	y
ranging	range	vvg
from	from	ii
a	a	at1
West	west	np1
German	german	jj
slaughterhouse	slaughterhouse	nn1
to	to	ii
a	a	at1
squad	squad	nn1
of	of	io
Korean	korean	jj
karate	karate	nn1
instructors	instructor	nn2
.	.	y
