@@724143	##	fo
txt	txt	nnu
Two	two	mc
hundred	hundred	m
persons	person	nn2
were	be	vbdr
forced	force	vvn
to	to	to
flee	flee	vvi
from	from	ii
the	the	at
Old	old	jj
'	'	ge
Orchard	orchard	nn1
Country	country	nn1
club	club	nn1
near	near	ii
Mount	mount	nnl1
Prospect	prospect	np1
last	last	md
night	night	nnt1
as	as	csa_ii@
flames	flame	nn2
damaged	damage	vvn_vvd@
the	the	at
club	club	nn1
office	office	nn1
and	and	cc
the	the	at
locker	locker	nn1
room	room	nn1
.	.	y
Chief	chief	nnb
William	william	np1
Andrew	andrew	np1
of	of	io
the	the	at
Prospect	prospect	nn1
Heights	height	nn2
fire	fire	vv0@_nn1
department	department	nn1
said	say	vvd
that	that	cst_dd1
,	,	y
the	the	at
blaze	blaze	nn1
apparently	apparently	rr
started	start	vvd_vvn@
in	in	ii_rp@
a	a	at1
shoe	shoe	nn1
shine	shine	nn1_vv0
room	room	nn1
and	and	cc
caused	cause	vvd_vvn
an	an	at1
estimated	estimate	jj@
$30,000	$30,000	nnu
damage	damage	nn1_vv0
to.the	to.the	nnu	
one-story	one-story	jj_nn1
brick	brick	nn1
structure	structure	nn1
:	:	y
,	,	y
Persons	person	nn2
fled	flee	vvn_vvd
from	from	ii
the	the	at
club	club	nn1
,	,	y
theater	theater	nn1
,	,	y
dining	dining	nn1
room	room	nn1
,	,	y
and	and	cc
bar	bar	nn1
.	.	y
Firemen	fireman	nn2
from	from	ii
I	i	ppis1_mc1%
Mount	mount	vv0_nn1
.	.	y
Prospect	prospect	nn1
and	and	cc
Arlington	arlington	np1
Heights	height	nn2
helped	help	vvn_vvd
fight	fight	vvi
the	the	at
fire	fire	nn1
.	.	y
