@@270441	##	fo
"	"	"
In	in	ii
no	no	at
election	election	nn1
in	in	ii_rp@
at	at	rr21
least	least	rr22
25	25	mc
years	year	nnt2
has	have	vhz
sentiment	sentiment	nn1
been	be	vbn
so	so	rg
closely	closely	rr
divided	divide	vvn_jj
or	or	cc
opinion	opinion	nn1
so	so	rg_rr
fluid	fluid	jj@_nn1
.	.	y
"	"	"
So	so	rr
wrote	write	vvd
Dr.	dr.-i	nnb
George	george	np1
Gallup	gallup	np1
last	last	md
week	week	nnt1
after	after	ii
taking	take	vvg
his	his	appge
third	third	md
poll	poll	nn1
of	of	io
the	the	at
presidential	presidential	jj
campaign	campaign	nn1
.	.	y
For	for	if
the	the	at
first	first	md
time	time	nnt1
since	since	cs_ii@
the	the	at
conventions	convention	nn2
,	,	y
Kennedy	kennedy	np1
took	take	vvd
the	the	at
lead	lead	nn1
,	,	y
if	if	cs
a	a	at1
slight	slight	jj
one	one	pn1
.	.	y
Asked	ask	vvn
which	which	ddq
candidate	candidate	nn1
they	they	pphs2
favor	favor	vv0
or	or	cc
"	"	"
lean	lean	vv0_jj
"	"	"
toward	toward	ii
favoring	favor	vvg_nn1@
,	,	y
48%	48%	nnu
of	of	io
the	the	at
voters	voter	nn2
chose	choose	vvd
Kennedy	kennedy	np1
,	,	y
47%	47%	nnu
Nixon	nixon	np1
.	.	y
Only	only	rr
5%	5%	nnu
were	be	vbdr
undecided	undecided	jj
(	(	y
a	a	at1
percentage	percentage	nn1
considered	consider	vvd_vvn
too	too	rg
low	low	jj_rr@
by	by	ii
both	both	db2
candidates	candidate	nn2
)	)	y
.	.	y
In	in	ii
Gallup	gallup	np1
's	's	ge
first	first	md
poll	poll	nn1
,	,	y
immediately	immediately	rr
after	after	ii_cs
the	the	at
Republican	republican	nn1_jj@
Convention	convention	nn1
,	,	y
Nixon	nixon	np1
led	lead	vvd
Kennedy	kennedy	np1
50%	50%	nnu
to	to	ii
44%	44%	nnu
.	.	y
In	in	ii
the	the	at
second	second	md
poll	poll	nn1
the	the	at
two	two	mc
were	be	vbdr
tied	tie	vvn
with	with	iw
47%	47%	nnu
.	.	y
<P>	<p>	null	
On	on	ii
issues	issue	nn2
,	,	y
the	the	at
Republicans	republican	nn2
lead	lead	vv0
3-to-2	3-to-2	mc
as	as	ii_csa
the	the	at
party	party	nn1
more	more	rgr
likely	likely	jj
to	to	to
keep	keep	vvi
the	the	at
U.S.	u.s.-	np1
out	out	ii21
of	of	ii22
World	world	nn1
War	war	nn1
III	iii	mc
.	.	y
But	but	ccb
the	the	at
Democrats	democrat	nn2
are	be	vbr
favored	favor	vvn@_jj@
4-to-3	4-to-3	mc	
to	to	to
arrest	arrest	vvi
a	a	at1
declining	declining	jj
domestic	domestic	jj
economy	economy	nn1
.	.	y
