@@217095	##	fo
"	"	"
I	i	ppis1_mc1%
am	be	vbm_ra@
Sukarno	sukarno	np1_nn1	
,	,	y
the	the	at
Great	great	jj
Leader	leader	nn1
of	of	io
the	the	at
Revolution	revolution	nn1
,	,	y
the	the	at
Supreme	supreme	jj
Commander	commander	nn1
of	of	io
the	the	at
Armed	armed	jj
Forces	force	nn2
,	,	y
"	"	"
said	say	vvd
the	the	at
Great	great	jj
Leader	leader	nn1
of	of	io
the	the	at
Revolution	revolution	nn1
to	to	ii
a	a	at1
crowd	crowd	nn1
in	in	ii
Djakarta	djakarta	np1
last	last	md
week	week	nnt1
.	.	y
"	"	"
I	i	ppis1
am	be	vbm
sick	sick	jj
of	of	io
the	the	at
secret	secret	jj_nn1
campaign	campaign	nn1
against	against	ii
me	me	ppio1
.	.	y
If	if	cs
you	you	ppy
do	do	vd0
not	not	xx
like	like	vvi
me	me	ppio1
,	,	y
I	i	ppis1
will	will	vm
resign	resign	vvi
,	,	y
but	but	ccb
do	do	vd0
not	not	xx
do	do	vdi
it	it	pph1
in	in	ii_rp@
a	a	at1
secret	secret	jj
manner	manner	nn1
.	.	y
Who	who	pnqs
is	be	vbz
against	against	ii
me	me	ppio1
?	?	y
Say	say	vv0
so	so	rr
now	now	rt
.	.	y
Those	those	dd2
who	who	pnqs
agree	agree	vv0
with	with	iw
me	me	ppio1
and	and	cc
support	support	vv0
me	me	ppio1
,	,	y
stand	stand	vv0_nn1
by	by	ii
me	me	ppio1
.	.	y
Defend	defend	vv0
me	me	ppio1
,	,	y
build	build	vv0
up	up	rp
your	your	appge
strength	strength	nn1
,	,	y
because	because	cs
I	i	ppis1
now	now	rt
see	see	vv0
efforts	effort	nn2
to	to	to
topple	topple	vvi
me	me	ppio1
.	.	y
"	"	"
It	it	pph1
was	be	vbdz
the	the	at
second	second	md
time	time	nnt1
in	in	ii
a	a	at1
week	week	nnt1
that	that	cst
he	he	pphs1
had	have	vhd
said	say	vvn
it	it	pph1
.	.	y
Did	do	vdd
he	he	pphs1
know	know	vvi
something	something	pn1
?	?	y
