@@272520	##	fo
After	after	ii_cs
five	five	mc
years	year	nnt2
of	of	io
testing	test	vvg_nn1_jj@
air	air	nn1
pollution	pollution	nn1
above	above	ii
65	65	mc
of	of	io
the	the	at
nation	nation	nn1
's	's	ge
biggest	big	jjt
urban	urban	jj
areas	area	nn2
,	,	y
the	the	at
U.S.	u.s.-	np1
Public	public	jj_nn1
Health	health	nn1
Service	service	nn1
last	last	md
week	week	nnt1
airily	airily	rr
ranked	rank	vvn_vvd@
the	the	at
six	six	mc
dirtiest	dirty	jjt
cities	city	nn2
,	,	y
in	in	ii
order	order	nn1
,	,	y
as	as	csa
New	new	np1
York	york	np1
,	,	y
Chicago	chicago	np1
,	,	y
Philadelphia	philadelphia	np1
,	,	y
Los	los	np1
Angeles	angeles	np1
,	,	y
Cleveland	cleveland	np1
and	and	cc
Pittsburgh	pittsburgh	np1
.	.	y
Since	since	cs
none	none	pn
of	of	io
the	the	at
smoggiest	smoggy	jjt
metropolises	metropolis	nn2
has	have	vhz
been	be	vbn
wracked	wrack	vvn
by	by	ii
major	major	jj
racial	racial	jj
violence	violence	nn1
so	so	rg
far	far	rr
this	this	dd1
year	year	nnt1
,	,	y
scientists	scientist	nn2
and	and	cc
sociologists	sociologist	nn2
will	will	vm
presumably	presumably	rr
attempt	attempt	vvi
to	to	to
measure	measure	vvi
the	the	at
inverse	inverse	jj_nn1
effect	effect	nn1
of	of	io
black	black	jj
air	air	nn1
on	on	ii
black	black	jj
power	power	nn1
.	.	y
