@@246114	##	fo
Out	out	ii21
of	of	ii22
the	the	at
business	business	nn1
upturn	upturn	nn1
last	last	md
week	week	nnt1
came	come	vvd
the	the	at
first	first	md
signs	sign	nn2
of	of	io
a	a	at1
turn-around	turn-around	nn1
in	in	ii
the	the	at
Kennedy	kennedy	np1
Administration	administration	nn1
's	's	ge
economic	economic	jj
policies	policy	nn2
.	.	y
To	to	to
give	give	vvi
the	the	at
economy	economy	nn1
a	a	at1
quick	quick	jj
boost	boost	nn1
,	,	y
the	the	at
Administration	administration	nn1
had	have	vhd
considered	consider	vvn
throwing	throw	vvg
its	its	appge
support	support	nn1
behind	behind	ii
a	a	at1
bill	bill	nn1
sponsored	sponsor	vvn
by	by	ii
Pennsylvania	pennsylvania	np1
's	's	ge_vbz
Democratic	democratic	jj
Senator	senator	nnb
Joseph	joseph	np1
Clark	clark	np1
to	to	to
provide	provide	vvi
state	state	nn1
and	and	cc
local	local	jj
governments	government	nn2
with	with	iw
$500	$500	nnu
million	million	m
in	in	ii
federal	federal	jj
grants	grant	nn2
for	for	if
such	such	da
projects	project	nn2
as	as	csa
repairing	repair	vvg
roads	road	nn2
and	and	cc
sewers	sewer	nn2
,	,	y
building	building	nn1_vvg@
schools	school	nn2
and	and	cc
libraries	library	nn2
.	.	y
Chief	chief	jj_nn1
advocate	advocate	nn1
of	of	io
the	the	at
bill	bill	nn1
inside	inside	ii
the	the	at
Administration	administration	nn1
was	be	vbdz
Presidential	presidential	jj
Economic	economic	jj
Adviser	adviser	nn1
Heller	heller	nn1_np1
.	.	y
But	but	ccb
Heller	heller	np1
's	's	ge
enthusiasm	enthusiasm	nn1
has	have	vhz
been	be	vbn
countered	counter	vvn
by	by	ii
Treasury	treasury	nn1
Secretary	secretary	nn1_np1@
Dillon	dillon	np1
's	's	ge
argument	argument	nn1
that	that	cst_dd1
with	with	iw
the	the	at
recession	recession	nn1
fading	fade	vvg
,	,	y
there	there	ex
is	be	vbz
less	less	dar_rrr_rgr
need	need	nn1_vv0
for	for	if
pump	pump	nn1
priming	prime	vvg_nn1@
and	and	cc
less	less	dar
chance	chance	nn1
of	of	io
winning	win	vvg
congressional	congressional	jj
approval	approval	nn1
for	for	if
it	it	pph1
.	.	y
The	the	at
outcome	outcome	nn1
:	:	y
an	an	at1
Administration	administration	nn1
decision	decision	nn1
not	not	xx
to	to	to
push	push	vvi
the	the	at
Clark	clark	np1
bill	bill	nn1
.	.	y
