@@205655	##	fo
Having	have	vhg
defied	defy	vvn
Britain	britain	np1
and	and	cc
shown	show	vvn
its	its	appge
independence	independence	nn1
by	by	ii
executing	execute	vvg
five	five	mc
blacks	black	nn2
in	in	ii31
spite	spite	ii32
of	of	ii33
a	a	at1
royal	royal	jj
reprieve	reprieve	nn1
,	,	y
the	the	at
breakaway	breakaway	jj_nn1
government	government	nn1
of	of	io
Prime	prime	jj
Minister	minister	nn1
Ian	ian	np1
Smith	smith	np1
decided	decide	vvd
last	last	md
week	week	nnt1
that	that	cst
a	a	at1
little	little	jj
mercy	mercy	nn1
was	be	vbdz
in	in	ii
order	order	nn1
.	.	y
It	it	pph1
commuted	commute	vvd
the	the	at
death	death	nn1
sentences	sentence	nn2
of	of	io
44	44	mc
blacks	black	nn2
awaiting	await	vvg
execution	execution	nn1
,	,	y
including	including	ii
four	four	mc
who	who	pnqs
were	be	vbdr
within	within	ii
40	40	mc
minutes	minute	nnt2
of	of	io
hanging	hang	nn1_jj_vvg
,	,	y
to	to	ii
varying	varying	jj_vvg
terms	term	nn2
of	of	io
imprisonment	imprisonment	nn1
.	.	y
Still	still	rr
awaiting	await	vvg
word	word	nn1
about	about	ii
their	their	appge
fate	fate	nn1
are	be	vbr
69	69	mc
others	other	nn2
held	hold	vvn_vvd
in	in	ii
the	the	at
death	death	nn1
row	row	nn1
of	of	io
Salisbury	salisbury	np1
's	's	ge
maximum-security	maximum-security	jj_nn1
prison	prison	nn1
.	.	y
Their	their	appge
number	number	nn1
swelled	swell	vvn_vvd
at	at	ii
week	week	nnt1
's	's	ge
end	end	nn1
with	with	iw
the	the	at
sentencing	sentencing	nn1_jj
to	to	ii
death	death	nn1
of	of	io
five	five	mc
Africans	african	nn2
convicted	convict	vvn
of	of	io
entering	enter	vvg
Rhodesia	rhodesia	np1
with	with	iw
"	"	"
weapons	weapon	nn2
of	of	io
war	war	nn1
"	"	"
-a	--a	at1
newly	newly	rr
created	create	vvn_vvd_jj@
capital	capital	nn1_jj@
offense	offense	nn1
.	.	y
The	the	at
gallows	gallows	nn2
,	,	y
on	on	ii
the	the	at
other	other	jj
hand	hand	nn1
,	,	y
became	become	vvd
suddenly	suddenly	rr
unmanned	unmanned	jj
;	;	y
the	the	at
government	government	nn1
dismissed	dismiss	vvd
Rhodesia	rhodesia	np1
's	's	ge
only	only	jj
hangman	hangman	nn1
,	,	y
Edward	edward	np1
(	(	y
"	"	"
Lofty	lofty	jj
"	"	"
)	)	y
Milton	milton	np1
,	,	y
probably	probably	rr
because	because	cs
he	he	pphs1
has	have	vhz
been	be	vbn
talking	talk	vvg
too	too	rg
much	much	da1_rr
to	to	ii
the	the	at
press	press	nn1
about	about	ii
his	his	appge
work	work	nn1
.	.	y
