@@248702	##	fo
At	at	ii
Jasna	jasna	np1
Gora	gora	np1
monastery	monastery	nn1
,	,	y
the	the	at
most	most	rgt
sacred	sacred	jj
shrine	shrine	nn1
in	in	ii
Poland	poland	np1
,	,	y
Stefan	stefan	np1
Cardinal	cardinal	nnb
Wyszynski	wyszynski	np1	
last	last	md
week	week	nnt1
blasted	blast	vvd_vvn@
grow	grow	vv0
ing	ing	vvg_jj@
Communist	communist	jj
efforts	effort	nn2
to	to	to
curtail	curtail	vvi
church	church	nn1
activities	activity	nn2
.	.	y
Speaking	speak	vvg
to	to	ii
groups	group	nn2
of	of	io
the	the	at
more	more	dar
than	than	csn
100,000	100,000	mc
pilgrims	pilgrim	nn2
gathered	gather	vvd_vvn
to	to	to
celebrate	celebrate	vvi
the	the	at
Feast	feast	nn1
of	of	io
the	the	at
Assumption	assumption	nn1
,	,	y
the	the	at
cardinal	cardinal	nn1
cited	cite	vvd_vvn
a	a	at1
government	government	nn1
ban	ban	nn1_vv0
on	on	ii
organized	organize	jj@
pilgrimages	pilgrimage	nn2
and	and	cc
pro	pro	rr@_nn1
tested	test	vvn_vvd
against	against	ii
roadblocks	roadblock	nn2
where	where	cs_rrq
some	some	dd
pilgrims	pilgrim	nn2
had	have	vhd
been	be	vbn
harassed	harass	vvn
during	during	ii
the	the	at
trip	trip	nn1
to	to	ii
the	the	at
shrine	shrine	nn1
,	,	y
enduring	endure	vvg
their	their	appge
own	own	da
"	"	"
Way	way	nn1
of	of	io
the	the	at
Cross	cross	nn1_np1
.	.	y
"	"	"
Ostensibly	ostensibly	rr
,	,	y
the	the	at
ban	ban	nn1
resulted	result	vvn_vvd
from	from	ii
a	a	at1
smallpox	smallpox	nn
outbreak	outbreak	nn1
in	in	ii
the	the	at
vicinity	vicinity	nn1
,	,	y
but	but	ccb
there	there	ex
was	be	vbdz
no	no	at
inter	inter	jj
ference	ference	nn1
with	with	iw
nonreligious	nonreligious	jj
tourists	tourist	nn2
.	.	y
<P>	<p>	null	
On	on	ii
another	another	dd1
front	front	nn1_jj
,	,	y
the	the	at
Reds	red	nn2
refused	refuse	vvd_vvn
to	to	to
let	let	vvi
children	child	nn2
at	at	ii
state-run	state-run	jj
summer	summer	nnt1
camps	camp	nn2
attend	attend	vv0
Mass	mass	nn1_jj_np1
.	.	y
Said	say	vvd
Wyszynski	wyszynski	np1	
:	:	y
"	"	"
The	the	at
state	state	nn1
does	do	vdz
not	not	xx
have	have	vhi
the	the	at
right	right	nn1
to	to	to
prohibit	prohibit	vvi
everything	everything	pn1
.	.	y
If	if	cs
a	a	at1
citizen	citizen	nn1
does	do	vdz
not	not	xx
demand	demand	vvi
his	his	appge
rights	right	nn2
,	,	y
he	he	pphs1
is	be	vbz
no	no	rr21
longer	long	rr22
a	a	at1
citizen	citizen	nn1
.	.	y
He	he	pphs1
becomes	become	vvz
a	a	at1
slave	slave	nn1
.	.	y
"	"	"
