@@245512	##	fo
Last	last	md
week	week	nnt1
the	the	at
vast	vast	jj
but	but	ccb
thinly	thinly	rr
populated	populate	vvn
(	(	y
650,000	650,000	mc
)	)	y
French	french	jj_nn1
territory	territory	nn1
of	of	io
Mauritania	mauritania	np1
became	become	vvd
the	the	at
18th	18th	md
nation	nation	nn1
to	to	to
achieve	achieve	vvi
independence	independence	nn1
this	this	dd1
year	year	nnt1
.	.	y
Tunisia	tunisia	np1
quickly	quickly	rr
recognized	recognize	vvd
it	it	pph1
,	,	y
but	but	ccb
Morocco	morocco	np1
refused	refuse	vvd
to	to	ii_to
,	,	y
claiming	claim	vvg
Mauritania	mauritania	np1
as	as	ii_csa
a	a	at1
lost	lose	jj@
province	province	nn1
willfully	willfully	rr
withheld	withhold	vvn_vvd
from	from	ii
it	it	pph1
by	by	ii
France	france	np1
.	.	y
In	in	ii
October	october	npm1
Morocco	morocco	np1
's	's	ge
fiery	fiery	jj
Deputy	deputy	nn1
Premier	premier	nn1
,	,	y
Crown	crown	nn1
Prince	prince	nnb
Moulay	moulay	np1	
Hassan	hassan	np1
,	,	y
31	31	mc
,	,	y
flew	fly	vvd
to	to	ii
Tunis	tunis	np1
to	to	to
convince	convince	vvi
President	president	nnb
Habib	habib	np1
Bourguiba	bourguiba	np1
that	that	cst
he	he	pphs1
should	should	vm
back	back	rp
the	the	at
Moroccan	moroccan	jj_nn1
claim	claim	nn1
to	to	ii
Mauritania	mauritania	np1
.	.	y
Recalls	recall	vvz
Bourguiba	bourguiba	np1
:	:	y
"	"	"
The	the	at
crown	crown	nn1
prince	prince	nn1
went	go	vvd
so	so	rg
far	far	rr
as	as	csa
to	to	to
say	say	vvi
,	,	y
'	'	ge_"@
If	if	cs_csw@
ever	ever	rr
you	you	ppy
want	want	vv0
to	to	to
lay	lay	vvi
claim	claim	nn1
to	to	ii
Sicily	sicily	np1
,	,	y
we	we	ppis2
Moroccans	moroccan	nn2
will	will	vm
support	support	vvi
you	you	ppy
.	.	y
'	'	"@_ge
Sicily	sicily	np1
!	!	!
Why	why	rrq
not	not	xx
Nice	nice	jj_rr@
and	and	cc
Corsica	corsica	np1
?	?	y
That	that	dd1
young	young	jj
man	man	nn1
will	will	vm
just	just	rr
have	have	vhi
to	to	to
grow	grow	vvi
up	up	rp
.	.	y
"	"	"
