@@216909	##	fo
Latest	late	jjt
bench	bench	nn1
mark	mark	nn1_vv0
on	on	ii
U.S.	u.s.-	np1
manners	manner	nn2
and	and	cc
morals	moral	nn2
:	:	y
<P>	<p>	null	
Dr.	dr.-i	nnb
Roswell	roswell	np1
Johnson	johnson	np1
,	,	y
director	director	nn1
of	of	io
health	health	nn1
services	service	nn2
at	at	ii
Brown	brown	np1_jj@
University	university	nn1
and	and	cc
its	its	appge
women	woman	nn2
's	's	ge
college	college	nn1
,	,	y
Pembroke	pembroke	np1
,	,	y
last	last	md
week	week	nnt1
acknowledged	acknowledge	vvd_vvn
that	that	cst
he	he	pphs1
had	have	vhd
prescribed	prescribe	vvn
birth-control	birth-control	jj_nn1
pills	pill	nn2
for	for	if
"	"	"
a	a	at1
very	very	jj@_rg
,	,	y
very	very	rg
small	small	jj
"	"	"
number	number	nn1
of	of	io
girls	girl	nn2
(	(	y
perhaps	perhaps	rr
as	as	rg
many	many	da2
as	as	csa
five	five	mc
)	)	y
in	in	ii
his	his	appge
official	official	jj_nn1
capacity	capacity	nn1
.	.	y
The	the	at
girls	girl	nn2
were	be	vbdr
over	over	rg
21	21	mc
and	and	cc
intending	intend	vvg
to	to	to
be	be	vbi
married	married	jj_vvn%
.	.	y
He	he	pphs1
emphasized	emphasize	vvd
that	that	cst
he	he	pphs1
had	have	vhd
had	have	vhn
lengthy	lengthy	jj
consultations	consultation	nn2
in	in	ii
each	each	dd1
case	case	nn1
,	,	y
because	because	cs
"	"	"
I	i	ppis1
want	want	vv0
to	to	to
feel	feel	vvi
I	i	ppis1
'm	be	vbm
contributing	contribute	vvg
to	to	ii
a	a	at1
solid	solid	jj
relationship	relationship	nn1
and	and	cc
not	not	xx
to	to	ii
unmitigated	unmitigated	jj
promiscuity	promiscuity	nn1
.	.	y
"	"	"
<P>	<p>	null	
Brown	brown	jj_np1
President	president	nnb
Barnaby	barnaby	np1
Keeney	keeney	np1
stoutly	stoutly	rr
backed	back	vvd_vvn
his	his	appge
health	health	nn1
director	director	nn1
.	.	y
Dr.	dr.-i	nnb
Johnson	johnson	np1
's	's	ge
position	position	nn1
,	,	y
said	say	vvd
Keeney	keeney	np1
,	,	y
"	"	"
implies	imply	vvz
discretion	discretion	nn1
to	to	to
treat	treat	vvi
cases	case	nn2
as	as	csa
seems	seem	vvz
best	best	jjr
to	to	to
him	him	ppho1
.	.	y
After	after	cs_ii
examination	examination	nn1
of	of	io
the	the	at
circumstances	circumstance	nn2
,	,	y
he	he	pphs1
decided	decide	vvd
to	to	to
prescribe	prescribe	vvi
contraceptive	contraceptive	jj_nn1
pills	pill	nn2
.	.	y
It	it	pph1
is	be	vbz
common	common	jj
practice	practice	nn1
to	to	to
do	do	vdi
so	so	rr
before	before	ii_cs
marriage	marriage	nn1
.	.	y
"	"	"
