@@311988	##	fo
THE	the	at
BUDGET	budget	nn1
<P>	<p>	null	
In	in	ii
January	january	npm1
1962	1962	mc
,	,	y
presenting	present	vvg
his	his	appge
budget	budget	nn1
for	for	if
the	the	at
fiscal	fiscal	jj
year	year	nnt1
that	that	cst_dd1
would	would	vm
end	end	vvi
June	june	npm1_np1@
30	30	mc
,	,	y
1963	1963	mc
,	,	y
President	president	nnb
Kennedy	kennedy	np1
exercised	exercise	vvd@
a	a	at1
politician	politician	nn1
's	's	ge
license	license	nn1
for	for	if
optimism	optimism	nn1
in	in	ii
predicting	predict	vvg
a	a	at1
tidy	tidy	jj
little	little	jj
surplus	surplus	nn1
of	of	io
$500	$500	nnu
million	million	m
.	.	y
The	the	at
forecast	forecast	nn1
was	be	vbdz
,	,	y
of	of	rr21
course	course	rr22
,	,	y
hitched	hitch	vvd_vvn@
to	to	ii
the	the	at
prospect	prospect	nn1
of	of	io
a	a	at1
resurgent	resurgent	jj_nn1
U.S.	u.s.-	np1
economy	economy	nn1
.	.	y
But	but	ccb
the	the	at
economy	economy	nn1
did	do	vdd
not	not	xx
show	show	vvi
the	the	at
strength	strength	nn1
expected	expect	vvd_vvn
,	,	y
and	and	cc
the	the	at
Government	government	nn1
spent	spend	vvd_vvn
more	more	dar_rrr
than	than	csn
it	it	pph1
collected	collect	vvd
.	.	y
Thus	thus	rr
,	,	y
as	as	csa_rg@
fiscal	fiscal	jj
1963	1963	mc
last	last	md
week	week	nnt1
came	come	vvd
to	to	ii
an	an	at1
end	end	nn1
and	and	cc
as	as	csa_ii@
Treasury	treasury	nn1
accountants	accountant	nn2
began	begin	vvd
totting	tot	vvg
up	up	rp_ii@
the	the	at
figures	figure	nn2
,	,	y
they	they	pphs2
found	find	vvd
that	that	cst
instead	instead	ii21_cs21%
of	of	ii22_cs22
that	that	dd1
original	original	jj
little	little	jj
surplus	surplus	nn1_jj
,	,	y
a	a	at1
deficit	deficit	nn1
of	of	io
some	some	dd
$7.8	$7.8	nnu
billion	billion	m
seems	seem	vvz
likely	likely	jj_rr@
.	.	y
But	but	ccb
,	,	y
all	all	db
things	thing	nn2
being	be	vbg
relative	relative	jj
,	,	y
it	it	pph1
could	could	vm
be	be	vbi
worse	bad	jjr
.	.	y
Even	even	rr
the	the	at
Administration	administration	nn1
,	,	y
revising	revise	vvg
its	its	appge
own	own	da
figures	figure	nn2
,	,	y
last	last	md
January	january	npm1
officially	officially	rr
predicted	predict	vvn_vvd
a	a	at1
deficit	deficit	nn1
of	of	io
$8.8	$8.8	nnu
billion	billion	m
.	.	y
Main	main	jj
reason	reason	nn1
for	for	if
the	the	at
improvement	improvement	nn1
from	from	ii
that	that	dd1
figure	figure	nn1
:	:	y
the	the	at
economy	economy	nn1
finally	finally	rr
began	begin	vvd
to	to	to
move	move	vvi
.	.	y
