@@724477	##	fo
txt	txt	nnu
Snow	snow	np1_nn1@
continued	continue	vvd
to	to	to
fall	fall	vvi
in	in	ii
the	the	at
Chicago	chicago	np1
area	area	nn1
early	early	rr
today	today	rt
,	,	y
and	and	cc
the	the	at
weather	weather	nn1
bureau	bureau	nn1
forecast	forecast	vv0_vvd@
an	an	at1
accumulation	accumulation	nn1
of	of	io
four	four	mc
to	to	ii
five	five	mc
inches	inch	nnu2
before	before	ii_cs
the	the	at
storm	storm	nn1
ends	end	nn2_vvz
.	.	y
The	the	at
snow	snow	nn1
on	on	ii
streets	street	nn2
and	and	cc
expressways	expressway	nn2
caused	cause	vvd_vvn
the	the	at
auto	auto	nn1
accident	accident	nn1
rate	rate	nn1
to	to	to
double	double	vvi
,	,	y
police	police	nn2
reported	report	vvd_vvn
.	.	y
Trucks	truck	nn2
from	from	ii
the	the	at
county	county	nn1
,	,	y
state	state	vv0_nn1
,	,	y
and	and	cc
Chicago	chicago	np1
Transit	transit	nn1
Authority	authority	nn1
worked	work	vvn_vvd
thru	thru	ii
the	the	at
night	night	nnt1
throwing	throw	vvg
salt	salt	nn1
on	on	ii
roadways	roadway	nn2
.	.	y
The	the	at
weatherman	weatherman	nn1
said	say	vvd
the	the	at
snow	snow	nn1
would	would	vm
diminish	diminish	vvi
to	to	ii
flurries	flurry	nn2
and	and	cc
end	end	vvi
sometime	sometime	rt_jj
today	today	rt
.	.	y
Temperatures	temperature	nn2
today	today	rt
will	will	vm
rise	rise	vvi
into	into	ii
the	the	at
lower	low	jjr
20s	20s	mc2
.	.	y
The	the	at
low	low	jj_nn1@
tonight	tonight	rt
will	will	vm
be	be	vbi
about	about	rg
5	5	mc
above	above	rl
.	.	y
