@@243714	##	fo
After	after	ii
bringing	bring	vvg
Berlin	berlin	np1
to	to	ii
the	the	at
boil	boil	nn1@
,	,	y
Russia	russia	np1
last	last	md
week	week	nnt1
let	let	vv0_vvd@
the	the	at
city	city	nn1
simmer	simmer	vvi
a	a	at1
while	while	nnt1@
.	.	y
Soviet	soviet	jj_nn1
armored	armored	jj@_vvd
cars	car	nn2
continued	continue	vvn_vvd
to	to	ii
shuttle	shuttle	nn1
through	through	ii
the	the	at
Western	western	jj
sector	sector	nn1
;	;	y
they	they	pphs2
drew	draw	vvd
only	only	rr_jj
scowls	scowl	vvz_nn2
from	from	ii
the	the	at
crowds	crowd	nn2
that	that	cst
had	have	vhd
stoned	stone	vvn
them	them	ppho2
the	the	at
week	week	nnt1
before	before	rt
.	.	y
More	more	dar
than	than	csn
300	300	mc
East	east	np1
Berliners	berliner	nn1
turned	turn	vvd_vvn
out	out	rp
for	for	if
the	the	at
funeral	funeral	nn1
of	of	io
Peter	peter	np1
Fechter	fechter	np1
,	,	y
the	the	at
18-year-old	18-year-old	jj
bricklayer	bricklayer	nn1
who	who	pnqs
had	have	vhd
been	be	vbn
shot	shoot	vvn
and	and	cc
left	leave	vvn
to	to	to
die	die	vvi
while	while	cs
trying	try	vvg
to	to	to
cross	cross	vvi
the	the	at
Wall	wall	nn1
.	.	y
Surest	sure	jjt_np1@
sign	sign	nn1
of	of	io
relaxed	relax	jj
tensions	tension	nn2
was	be	vbdz
the	the	at
Western	western	jj
alliance	alliance	nn1
's	's	ge
return	return	nn1
to	to	ii
disarray	disarray	nn1
.	.	y
Despite	despite	ii
President	president	nnb
Kennedy	kennedy	np1
's	's	ge
announcement	announcement	nn1
that	that	cst
the	the	at
Big	big	jj
Four	four	mc
had	have	vhd
agreed	agree	vvn
"	"	"
in	in	ii
principle	principle	nn1
"	"	"
to	to	ii
a	a	at1
foreign	foreign	jj
ministers	minister	nn2
'	'	ge
conference	conference	nn1
on	on	ii
Berlin	berlin	np1
,	,	y
they	they	pphs2
all	all	db_rr@
seemed	seem	vvd_vvn@
to	to	to
have	have	vhi
previous	previous	jj
engagements	engagement	nn2
.	.	y
At	at	ii
week	week	nnt1
's	's	ge
end	end	nn1
,	,	y
the	the	at
Big	big	jj
Four	four	mc
conference	conference	nn1
was	be	vbdz
off-like	off-like	jj	
the	the	at
pressure	pressure	nn1
.	.	y
