@@248801	##	fo
The	the	at
least	least	rgt
likely	likely	jj
person	person	nn1
to	to	to
have	have	vhi
an	an	at1
accident	accident	nn1
,	,	y
according	according	ii21
to	to	ii22
a	a	at1
National	national	jj
Safety	safety	nn1
Council	council	nn1
study	study	nn1
of	of	io
1962	1962	mc
statistics	statistics	nn
on	on	ii
16	16	mc
U.S.	u.s.-	np1
turnpikes	turnpike	vvz_nn2
,	,	y
is	be	vbz
a	a	at1
woman	woman	nn1
,	,	y
either	either	rr
under	under	rg
20	20	mc
or	or	cc
over	over	rg
55	55	mc
,	,	y
driving	drive	vvg
on	on	ii_rp@
an	an	at1
icy	icy	jj
highway	highway	nn1
between	between	ii
9	9	mc
p.m.	p.m.	ra
and	and	cc
10	10	mc
p.m.	p.m.	ra
on	on	ii
a	a	at1
misty	misty	jj
Wednesday	wednesday	npd1
in	in	ii
February	february	npm1
.	.	y
The	the	at
most	most	rgt
likely	likely	jj
candidate	candidate	nn1
for	for	if
siren	siren	nn1
and	and	cc
stretcher	stretcher	nn1
is	be	vbz
a	a	at1
young	young	jj
man	man	nn1
of	of	io
24	24	mc
or	or	cc
25	25	mc
,	,	y
driving	drive	vvg
on	on	ii_rp@
a	a	at1
dry	dry	jj
pavement	pavement	nn1
at	at	ii
5	5	mc
p.m.	p.m.	ra
on	on	ii
a	a	at1
Friday	friday	npd1
in	in	ii
July	july	npm1
.	.	y
