@@271318	##	fo
Virginia	virginia	np1
's	's	ge
Prince	prince	nnb
Edward	edward	np1
County	county	nn1
,	,	y
which	which	ddq
has	have	vhz
two	two	mc
separate	separate	jj
school	school	nn1
systems	system	nn2
(	(	y
public	public	nn1_jj
for	for	if
Negroes	negro	nn2
,	,	y
private	private	jj_nn1@
for	for	if
whites	white	nn2
)	)	y
,	,	y
is	be	vbz
learning	learn	vvg
the	the	at
price	price	nn1
of	of	io
prejudice	prejudice	nn1
.	.	y
It	it	pph1
comes	come	vvz
to	to	ii
$180,000	$180,000	nnu
,	,	y
which	which	ddq
county	county	nn1
officials	official	nn2
will	will	vm
have	have	vhi
to	to	to
pay	pay	vvi
out	out	ii21
of	of	ii22
their	their	appge
own	own	da
pockets	pocket	nn2
.	.	y
<P>	<p>	null	
In	in	ii
1964	1964	mc
,	,	y
county	county	nn1
supervisors	supervisor	nn2
decided	decide	vvd_vvn
to	to	to
give	give	vvi
tuition	tuition	nn1
grants	grant	vvz_nn2
to	to	ii
the	the	at
private	private	jj
schools	school	nn2
,	,	y
summoned	summon	vvd_vvn
white	white	jj
parents	parent	nn2
and	and	cc
parceled	parcel	vvd
out	out	rp
the	the	at
money	money	nn1
while	while	cs
a	a	at1
Negro	negro	nn1
parents	parent	nn2
'	'	ge
suit	suit	nn1
to	to	to
bar	bar	vvi
the	the	at
grant	grant	nn1
was	be	vbdz
pending	pending	jj
in	in	ii
the	the	at
U.S.	u.s.-	np1
Circuit	circuit	nn1
Court	court	nn1
of	of	io
Appeals	appeal	nn2
.	.	y
The	the	at
Negroes	negro	nn2
called	call	vvn_vvd@
this	this	dd1
action	action	nn1
a	a	at1
"	"	"
midnight	midnight	nnt1
raid	raid	nn1
on	on	ii
the	the	at
county	county	nn1
treasury	treasury	nn1
,	,	y
"	"	"
and	and	cc
the	the	at
court	court	nn1
ordered	order	vvd_vvn_jj@
restoration	restoration	nn1
of	of	io
the	the	at
funds	fund	nn2
.	.	y
Now	now	cs21
that	that	cs22
the	the	at
Supreme	supreme	jj
Court	court	nn1
has	have	vhz
refused	refuse	vvn
to	to	to
review	review	vvi
the	the	at
judgment	judgment	nn1
,	,	y
the	the	at
supervisors	supervisor	nn2
will	will	vm
have	have	vhi
to	to	to
raise	raise	vvi
the	the	at
cash	cash	nn1
or	or	cc
go	go	vv0
to	to	to
jail	jail	vvi
.	.	y
