@@677665	##	fo
txt	txt	nnu
The	the	at
Flat	flat	jj_nn1
Wheel	wheel	nn1
Nuisance	nuisance	nn1
.	.	y
Those	those	dd2
of	of	io
us	us	ppio2
who	who	pnqs
perforce	perforce	rr
of	of	io
circumstances	circumstance	nn2
must	must	vm
live	live	vvi
on	on	ii
the	the	at
line	line	nn1
of	of	io
the	the	at
elevated	elevated	jj
railroads	railroad	nn2
do	do	vd0
so	so	rr
with	with	iw
the	the	at
knowledge	knowledge	nn1
that	that	cst
our	our	appge
rent	rent	nn1
is	be	vbz
cheaper	cheap	jjr
because	because	ii21
of	of	ii22
the	the	at
noise	noise	nn1
made	make	vvn
by	by	ii
the	the	at
trains	train	nn2
,	,	y
and	and	cc
Soon	soon	rr
get	get	vv0
to	to	to
look	look	vvi
upon	upon	ii
it	it	pph1
as	as	ii_csa
a	a	at1
necessary	necessary	jj
evil	evil	nn1_jj
,	,	y
but	but	ccb
it	it	pph1
Is	be	vbz
not	not	xx
"	"	"
so	so	rr_rg
stipulated	stipulate	vvn_jj_vvd	
in	in	ii
the	the	at
bond	bond	nn1
"	"	"
that	that	cst
the	the	at
surface	surface	nn1
cars	car	nn2
must	must	vm
contribute	contribute	vvi
to	to	ii
our	our	appge
woes	woe	nn2
.	.	y
This	this	dd1
they	they	pphs2
do	do	vd0
,	,	y
however	however	rr
,	,	y
and	and	cc
it	it	pph1
is	be	vbz
with	with	iw
the	the	at
hope	hope	nn1
that	that	cst
you	you	ppy
may	may	vm
by	by	ii
the	the	at
power	power	nn1
of	of	io
your	your	appge
pen	pen	nn1
mitigate	mitigate	vv0
the	the	at
evil	evil	nn1_jj
that	that	cst
I	i	ppis1
write	write	vv0
.	.	y
Flat	flat	jj_nn1
wheels	wheel	nn2
send	send	vv0
forth	forth	rr
a	a	at1
noise	noise	nn1
that	that	cst_dd1
would	would	vm
wake	wake	vvi
the	the	at
dead	dead	jj
,	,	y
and	and	cc
loose	loose	jj
brake	brake	nn1
chains	chain	nn2
clang	clang	vv0
along	along	rp_ii
the	the	at
granite	granite	nn1
paving	paving	nn1
blocks	block	nn2_vvz@
in	in	ii
a	a	at1
manner	manner	nn1
that	that	cst_dd1
would	would	vm
remind	remind	vvi
one	one	mc1
of	of	io
an	an	at1
old-fashioned	old-fashioned	jj
straw	straw	nn1
ride	ride	nn1_vv0
going	go	vvg
through	through	ii_rp@
a	a	at1
village	village	nn1
.	.	y
Could	could	vm
the	the	at
Police	police	nn2
Department	department	nn1
be	be	vbi
instructed	instruct	vvn
to	to	to
order	order	vvi
a	a	at1
car	car	nn1
with	with	iw
flat	flat	jj
wheels	wheel	nn2
and	and	cc
loose	loose	jj
chains	chain	nn2
back	back	rp
to	to	ii
the	the	at
barn	barn	nn1
by	by	ii31
way	way	ii32
of	of	ii33
the	the	at
nearest	nearest	jjt_rrt
switch	switch	nn1_vv0
?	?	y
