@@677890	##	fo
txt	txt	nnu
Responsibility	responsibility	nn1
for	for	if
Much	much	da1
Pneumonia	pneumonia	nn1
.	.	y
I	i	ppis1
have	have	vh0
read	read	vvn
with	with	iw
interest	interest	nn1
the	the	at
letter	letter	nn1
of	of	io
Dr.	dr.-i	nnb
Samuel	samuel	np1
G.	g.-a	np1
Tracy	tracy	np1
In	in	ii
your	your	appge
issue	issue	nn1
of	of	io
this	this	dd1
date	date	nn1
,	,	y
and	and	cc
realize	realize	vv0
the	the	at
value	value	nn1
of	of	io
suggestions	suggestion	nn2
made	make	vvn
by	by	ii
him	him	ppho1
to	to	to
prevent	prevent	vvi
influenza	influenza	nn1
and	and	cc
pneumonia	pneumonia	nn1
.	.	y
But	but	ccb
how	how	rgq@_rrq
many	many	da2
of	of	io
the	the	at
1,202	1,202	mc
deaths	death	nn2
from	from	ii
pneumonia	pneumonia	nn1
in	in	ii
New	new	np1
York	york	np1
thy	thy	appge
last	last	md
month	month	nnt1
would	would	vm
not	not	xx
have	have	vhi
occurred	occur	vvn@
if	if	cs_csw@
the	the	at
surface	surface	nn1
and	and	cc
elevated	elevated	jj
cars	car	nn2
had	have	vhd
been	be	vbn
properly	properly	rr
heated	heat	vvn_jj
?	?	y
I	i	ppis1
came	come	vvd
to	to	ii
town	town	nn1
last	last	md
Sunday	sunday	npd1
,	,	y
convalescing	convalesce	vvg
from	from	ii
pneumonia	pneumonia	nn1
,	,	y
and	and	cc
rode	ride	vvd
in	in	ii_rp@
a	a	at1
Fourteenth	fourteenth	md
Street	street	nn1
car	car	nn1
from	from	ii
the	the	at
Twenty-third	twenty-third	md
Street	street	nn1
ferry	ferry	nn1_vv0
,	,	y
North	north	nd1
River	river	nn1
,	,	y
to	to	ii
Brooklyn	brooklyn	np1
via	via	ii
the	the	at
Williamsburg	williamsburg	np1
Bridge	bridge	nn1
,	,	y
and	and	cc
then	then	rt
in	in	ii
a	a	at1
Marcy	marcy	np1
Avenue	avenue	nnl1
(	(	y
Brooklyn	brooklyn	np1
)	)	y
car	car	nn1
,	,	y
and	and	cc
neither	neither	dd1
was	be	vbdz
heated	heat	vvn
.	.	y
I	i	ppis1
prevailed	prevail	vvd
upon	upon	ii
the	the	at
conductor	conductor	nn1
to	to	to
keep	keep	vvi
the	the	at
rear	rear	jj_nn1
door	door	nn1
closed	close	vvd_vvn
,	,	y
but	but	ccb
I	i	ppis1
was	be	vbdz
chilled	chill	vvn
when	when	cs_rrq
I	i	ppis1
arrived	arrive	vvd
home	home	rl
.	.	y
Has	have	vhz
the	the	at
Public	public	jj_nn1
Service	service	nn1
Commission	commission	nn1
paid	pay	vvd_vvn
any	any	dd
attention	attention	nn1
to	to	ii
this	this	dd1
matter	matter	nn1
?	?	y
Men	man	nn2
,	,	y
women	woman	nn2
,	,	y
and	and	cc
children	child	nn2
daily	daily	rr
run	run	vv0_vvn
great	great	jj
risks	risk	nn2
in	in	ii
this	this	dd1
respect	respect	nn1
.	.	y
