@@678044	##	fo
txt	txt	nnu
Inviting	invite	jj@_vvg	
Censure	censure	nn1
.	.	y
It	it	pph1
would	would	vm
be	be	vbi
a	a	at1
good	good	jj
plan	plan	nn1
to	to	to
print	print	vvi
in	in	ii_rp@
good-sized	good-sized	jj
type	type	nn1
the	the	at
names	name	nn2
of	of	io
the	the	at
shortsighted	shortsighted	jj
men	man	nn2
in	in	ii
Congress	congress	nn1
who	who	pnqs
are	be	vbr
voting	vote	vvg
against	against	ii
the	the	at
increase	increase	nn1
of	of	io
our	our	appge
army	army	nn1
and	and	cc
navy	navy	nn1
and	and	cc
against	against	ii
putting	put	vvg
our	our	appge
coasts	coast	nn2
in	in	ii
a	a	at1
thorough	thorough	jj
condition	condition	nn1
for	for	if
defense	defense	nn1
.	.	y
They	they	pphs2
seem	seem	vv0
to	to	to
forget	forget	vvi
that	that	cst
a	a	at1
disciplined	disciplined	jj
army	army	nn1
ca	can	vm
n't	n't	xx
be	be	vbi
made	make	vvn
in	in	ii
a	a	at1
week	week	nnt1
nor	nor	cc
a	a	at1
battleship	battleship	nn1
built	build	vvn_vvd
in	in	ii
a	a	at1
few	few	da2
days	day	nnt2
.	.	y
A	a	at1
nation	nation	nn1
with	with	iw
a	a	at1
good-sized	good-sized	jj
navy	navy	nn1
and	and	cc
army	army	nn1
,	,	y
with	with	iw
coasts	coast	nn2
well	well	rr
protected	protect	vvn_jj
,	,	y
does	do	vdz
not	not	xx
necessarily	necessarily	rr
become	become	vvi
an	an	at1
aggressive	aggressive	jj
one	one	pn1
.	.	y
In	in	ii
the	the	at
event	event	nn1
of	of	io
war	war	nn1
coming	come	vvg
on	on	ii
us	us	ppio2
in	in	ii
our	our	appge
present	present	jj_nn1
state	state	nn1
of	of	io
criminal	criminal	jj_nn1
unpreparedness	unpreparedness	nn1
,	,	y
no	no	rr21
doubt	doubt	rr22
the	the	at
names	name	nn2
of	of	io
the	the	at
men	man	nn2
in	in	ii
Congress	congress	nn1
who	who	pnqs
failed	fail	vvd
in	in	ii_rp@
their	their	appge
duty	duty	nn1
to	to	to
attend	attend	vvi
to	to	ii
the	the	at
defenses	defense	nn2
of	of	io
the	the	at
country	country	nn1
would	would	vm
be	be	vbi
execrated	execrate	vvn@
,	,	y
but	but	ccb
that	that	dd1
would	would	vm
be	be	vbi
a	a	at1
very	very	rg
small	small	jj
consolation	consolation	nn1
to	to	ii
an	an	at1
angry	angry	jj
and	and	cc
humiliated	humiliate	jj_vvd
people	people	nn
.	.	y
