@@676241	##	fo
txt	txt	nnu
"	"	"
When	when	cs
Joshua	joshua	np1
Quits	quit	vvz
Joshing	josh	np1_vvg	
,	,	y
"	"	"
the	the	at
play	play	nn1
which	which	ddq
has	have	vhz
caused	cause	vvn
so	so	rg
much	much	da1
dissension	dissension	nn1
among	among	ii
the	the	at
members	member	nn2
of	of	io
the	the	at
junior	junior	jj
class	class	nn1
at	at	ii
Northwestern	northwestern	jj
university	university	nn1
,	,	y
was	be	vbdz
abandoned	abandon	vvn
yesterday	yesterday	rt
,	,	y
and	and	cc
the	the	at
class	class	nn1
is	be	vbz
now	now	rt
looking	look	vvg
for	for	if
some	some	dd
play	play	vv0_nn1
that	that	cst_dd1
will	will	vm
please	please	vvi
all	all	db
and	and	cc
have	have	vh0
no	no	at
kissing	kiss	nn1
In	in	ii
it	it	pph1
.	.	y
The	the	at
play	play	nn1
was	be	vbdz
brought	bring	vvn
up	up	rp
for	for	if
discussion	discussion	nn1
,	,	y
in	in	ii
class	class	nn1
meeting	meeting	nn1_vvg
,	,	y
and	and	cc
the	the	at
verdict	verdict	nn1
of	of	io
a	a	at1
large	large	jj
majority	majority	nn1
was	be	vbdz
against	against	ii
proceeding	proceed	vvg
with	with	iw
it	it	pph1
.	.	y
An	an	at1
entirely	entirely	rr
new	new	jj
play	play	nn1
committee	committee	nn1
was	be	vbdz
elected	elect	vvn
with	with	iw
Instructions	instruction	nn2
to	to	to
decide	decide	vvi
on	on	ii_rp@
some	some	dd
other	other	jj
play	play	nn1
.	.	y
The	the	at
facility	facility	nn1
has	have	vhz
forbidden	forbid	vvn
the	the	at
Red	red	jj
Domino	domino	nn1
,	,	y
a	a	at1
dramatic	dramatic	jj
society	society	nn1
composed	compose	vvn_vvd
of	of	io
young	young	jj
women	woman	nn2
students	student	nn2
.	.	y
and	and	cc
the	the	at
Comedy	comedy	nn1
club	club	nn1
,	,	y
composed	compose	vvd_vvn
of	of	io
men	man	nn2
students	student	nn2
.	.	y
from	from	ii
producing	produce	vvg
a	a	at1
play	play	nn1
at	at	ii
the	the	at
Studebaker	studebaker	nn1_np1
theater	theater	nn1
this	this	dd1
winter	winter	nnt1
,	,	y
as	as	csa
was	be	vbdz
intended	intend	vvn
.	.	y
In	in	ii
giving	give	vvg
their	their	appge
reasons	reason	nn2
the	the	at
members	member	nn2
of	of	io
the	the	at
faculty	faculty	nn1
state	state	vv0_nn1
that	that	cst
they	they	pphs2
do	do	vd0
hot	hot	rr%_jj
think	think	vvi
it	it	pph1
advisable	advisable	jj
'	'	ge
for	for	if
the	the	at
:	:	y
Ancients	ancient	nn2
to	to	to
come	come	vvi
to	to	ii
Chicago	chicago	np1
to	to	to
present	present	vvi
a	a	at1
play	play	nn1
.	.	y
