@@678403	##	fo
txt	txt	nnu
RESULT	result	nn1
OF	of	io
PRESENT	present	jj_nn1
METHODS	method	nn2
.	.	y
May	may	vm
not	not	xx
the	the	at
superiority	superiority	nn1
of	of	io
the	the	at
Lincoln	lincoln	np1
compositions	composition	nn2
by	by	ii
the	the	at
younger	young	jjr
children	child	nn2
over	over	ii
those	those	dd2
coming	come	vvg
from	from	ii
the	the	at
upper	upper	jj
elementary	elementary	jj
grades	grade	nn2
and	and	cc
the	the	at
high	high	jj
schools	school	nn2
have	have	vh0
another	another	dd1
explanation	explanation	nn1
than	than	csn
the	the	at
actual	actual	jj
stultification	stultification	nn1
of	of	io
bright	bright	jj
intellects	intellect	nn2
by	by	ii
upper	upper	jj
grade	grade	nn1
teaching	teaching	nn1_vvg
?	?	y
The	the	at
fundamentals	fundamentals	nn2
of	of	io
commonly	commonly	rr
accepted	accepted	jj_vvn_vvd
teaching	teaching	nn1_vvg
theory	theory	nn1
have	have	vh0
undergone	undergo	vvn
a	a	at1
progress	progress	nn1
both	both	rr
recent	recent	jj
and	and	cc
rapid	rapid	jj_nn1@
of	of	io
which	which	ddq
the	the	at
younger	young	jjr
children	child	nn2
may	may	vm
be	be	vbi
supposed	supposed	jj
to	to	to
be	be	vbi
the	the	at
most	most	rgt
substantial	substantial	jj
beneficiaries	beneficiary	nn2
.	.	y
The	the	at
natural	natural	jj
methods	method	nn2
and	and	cc
means	mean	nn
of	of	io
waking	wake	vvg
up	up	rp
mind	mind	nn1_vv0
now	now	rt
at	at	ii
the	the	at
teacher	teacher	nn1
's	's	ge
command	command	nn1
were	be	vbdr
illustrated	illustrate	vvn
in	in	rr21
part	part	rr22
by	by	ii
the	the	at
exhibition	exhibition	nn1
of	of	io
processes	process	nn2
and	and	cc
visible	visible	jj
results	result	nn2
in	in	ii
manual	manual	jj_nn1
training	training	nn1
given	give	vvn
a	a	at1
week	week	nnt1
or	or	cc
two	two	mc
ago	ago	ra
by	by	ii
the	the	at
Board	board	nn1
of	of	io
Education	education	nn1
.	.	y
A	a	at1
quarter	quarter	nn1
of	of	io
a	a	at1
century	century	nnt1
ago	ago	ra
common	common	jj
school	school	nn1
education	education	nn1
was	be	vbdz
all	all	db_rr@
bookish	bookish	jj_vv0
and	and	cc
formalistic	formalistic	jj
,	,	y
and	and	cc
the	the	at
youngest	young	jjt
children	child	nn2
were	be	vbdr
taught	teach	vvn
by	by	ii
the	the	at
youngest	young	jjt
or	or	cc
weakest	weakest	jjt
teachers	teacher	nn2
.	.	y
The	the	at
change	change	nn1
was	be	vbdz
hot	hot	rr%_jj
wrought	work	vvn_jj
in	in	ii
a	a	at1
day	day	nnt1
,	,	y
