@@677669	##	fo
txt	txt	nnu
More	more	dar_rrr
About	about	ii
It	it	pph1_nn1@
.	.	y
For	for	if
a	a	at1
considerable	considerable	jj
period	period	nn1
past	past	rl_ii_nn1
there	there	ex_rl
have	have	vh0
appeared	appear	vvn
in	in	ii
newspapers	newspaper	nn2
and	and	cc
other	other	jj
periodicals	periodical	nn2
lengthy	lengthy	jj
and	and	cc
more	more	rgr
or	or	cc
less	less	rgr
sensational	sensational	jj
articles	article	nn2
concerning	concerning	ii_vvg
an	an	at1
imaginary	imaginary	jj
war	war	nn1
with	with	iw
Japan	japan	np1
.	.	y
The	the	at
people	people	nn
of	of	io
this	this	dd1
country	country	nn1
believe	believe	vv0
it	it	pph1
is	be	vbz
very	very	rg
true	true	jj
,	,	y
in	in	ii
publicity	publicity	nn1
for	for	if
matters	matter	nn2
of	of	io
general	general	jj_nn1
interest	interest	nn1
.	.	y
When	when	cs_rrq
there	there	ex
is	be	vbz
a	a	at1
legitimate	legitimate	jj
item	item	nn1
of	of	io
news	news	nn1
,	,	y
involving	involve	vvg
a	a	at1
question	question	nn1
of	of	io
governmental	governmental	jj
conduct	conduct	nn1
,	,	y
there	there	ex
can	can	vm
seldom	seldom	rr
be	be	vbi
sufficient	sufficient	jj
reason	reason	nn1
for	for	if
its	its	appge
suppression	suppression	nn1
from	from	ii
the	the	at
public	public	nn1_jj
.	.	y
Nevertheless	nevertheless	rr
,	,	y
such	such	da
policy	policy	nn1
should	should	vm
not	not	xx
be	be	vbi
pleaded	plead	vvn
to	to	to
justify	justify	vvi
the	the	at
publication	publication	nn1
of	of	io
detrimental	detrimental	jj
end	end	nn1
irresponsible	irresponsible	jj
gossip	gossip	nn1
touching	touch	vvg
a	a	at1
problem	problem	nn1
of	of	io
international	international	jj
importance	importance	nn1
.	.	y
To	to	ii
my	my	appge
mind	mind	nn1
,	,	y
the	the	at
continuance	continuance	nn1
by	by	ii
newspapers	newspaper	nn2
and	and	cc
other	other	jj
similar	similar	jj
agencies	agency	nn2
of	of	io
reporting	report	vvg_nn1_jj@
interviews	interview	nn2
with	with	iw
all	all	db
manner	manner	nn1
of	of	io
persons	person	nn2
and	and	cc
distorting	distort	vvg
otherwise	otherwise	rr
the	the	at
public	public	jj_nn1
understanding	understanding	nn1
is	be	vbz
defenseless	defenseless	jj
;	;	y
it	it	pph1
serves	serve	vvz
only	only	rr
to	to	to_ii
keep	keep	vvi
alive	alive	jj
,	,	y
against	against	ii
the	the	at
interests	interest	nn2
of	of	io
this	this	dd1
nation	nation	nn1
as	as	ii31_rg
well	well	ii32
as	as	ii33_csa
of	of	io
Japan	japan	np1
,	,	y
a	a	at1
matter	matter	nn1
some	some	dd
time	time	nnt1
since	since	cs_rr@
started	start	vvn@_vvd
on	on	ii
its	its	appge
way	way	nn1
to	to	ii
peaceable	peaceable	jj
and	and	cc
honorable	honorable	jj
settlement	settlement	nn1
.	.	y
