@@677386	##	fo
txt	txt	nnu
How	how	rgq@_rrq
Pompeiian	pompeiian	jj_nn1@
"	"	"
Finds	find	vvz
"	"	"
Are	be	vbr
Arranged	arrange	vvn
.	.	y
In	in	ii31
answer	answer	ii32
to	to	ii33
your	your	appge
doubts	doubt	nn2
concerning	concerning	ii_vvg
the	the	at
genuineness	genuineness	nn1
of	of	io
the	the	at
finds	find	nn2%
made	make	vvn
by	by	ii
Ambassador	ambassador	nnb
White	white	np1
it	it	pph1
may	may	vm
interest	interest	vvi
your	your	appge
readers	reader	nn2
to	to	to
know	know	vvi
how	how	rrq
such	such	da
matters	matter	nn2
are	be	vbr
arranged	arrange	vvn
by	by	ii
the	the	at
local	local	jj
authorities	authority	nn2
of	of	io
Pompeii	pompeii	nn1_np1_jj
.	.	y
The	the	at
present	present	jj_nn1
instance	instance	nn1
is	be	vbz
by	by	rr31
no	no	rr32
means	mean	rr33
unique	unique	jj
.	.	y
Almost	almost	rr
every	every	at1
year	year	nnt1
some	some	dd
crowned	crown	jj@
head	head	nn1
or	or	cc
important	important	jj
personage	personage	nn1
visits	visit	vvz@_nn2
the	the	at
ruins	ruin	nn2
,	,	y
and	and	cc
for	for	if
their	their	appge
benefit	benefit	nn1
the	the	at
garden	garden	nn1
of	of	io
some	some	dd
promising	promising	jj
house	house	nn1
is	be	vbz
really	really	rr
left	leave	vvn_vvd
for	for	if
excavation	excavation	nn1
.	.	y
The	the	at
chief	chief	jj_nn1
difficulty	difficulty	nn1
experienced	experience	vvn_vvd
at	at	ii
Pompeii	pompeii	np1_jj_nn1
lies	lie	vvz_nn2
in	in	ii
the	the	at
removal	removal	nn1
of	of	io
some	some	dd
fifteen	fifteen	mc
feet	foot	nn2
of	of	io
ashes	ash	nn2
and	and	cc
cinders	cinder	nn2
.	.	y
When	when	cs
this	this	dd1
is	be	vbz
accomplished	accomplish	vvn
it	it	pph1
requires	require	vvz
but	but	ccb
little	little	rr_da1
digging	dig	vvg_jj_nn1
to	to	to
bring	bring	vvi
to	to	ii
light	light	nn1
any	any	dd
object	object	nn1
of	of	io
interest	interest	nn1
which	which	ddq
the	the	at
garden	garden	nn1
affords	afford	vvz
.	.	y
Very	very	rg
probably	probably	rr
assurance	assurance	nn1
is	be	vbz
made	make	vvn
doubly	doubly	rr
sure	sure	jj
by	by	ii
surreptitious	surreptitious	jj
digs	dig	nn2
until	until	cs_ii@
the	the	at
head	head	nn1
of	of	io
some	some	dd
fountain	fountain	nn1
figure	figure	nn1
or	or	cc
berm	berm	nn1_vv0
is	be	vbz
revealed	reveal	vvn
,	,	y
but	but	ccb
this	this	dd1
is	be	vbz
again	again	rt
covered	cover	vvn
up	up	rp
,	,	y
and	and	cc
the	the	at
disclosure	disclosure	nn1
of	of	io
the	the	at
entire	entire	jj
figure	figure	nn1
is	be	vbz
left	leave	vvn
until	until	cs_ii@
the	the	at
spectators	spectator	nn2
arrive	arrive	vv0
.	.	y
