@@291756	##	fo
Once	once	rr_cs@
a	a	at1
radical	radical	nn1_jj
always	always	rr
a	a	at1
radical	radical	nn1_jj
?	?	y
Not	not	xx
,	,	y
certainly	certainly	rr
,	,	y
in	in	ii
the	the	at
case	case	nn1
of	of	io
Rennie	rennie	np1
Davis	davis	np1
,	,	y
37	37	mc
.	.	y
Once	once	cs@_rr
he	he	pphs1
was	be	vbdz
a	a	at1
tough-minded	tough-minded	jj_nn1
tactician	tactician	nn1
of	of	io
the	the	at
antiwar	antiwar	nn1
movement	movement	nn1
and	and	cc
the	the	at
Chicago	chicago	np1
Seven	seven	mc
,	,	y
who	who	pnqs
were	be	vbdr
tried	try	vvn@
for	for	if
disrupting	disrupt	vvg
the	the	at
1968	1968	mc
Democratic	democratic	jj
Convention	convention	nn1
.	.	y
In	in	ii
1973	1973	mc
,	,	y
the	the	at
year	year	nnt1
after	after	ii_cs
his	his	appge
Chicago	chicago	np1
conviction	conviction	nn1
was	be	vbdz
overturned	overturn	vvn
,	,	y
Davis	davis	np1
hooked	hook	vvd@_vvn
up	up	rp
with	with	iw
a	a	at1
teen-age	teen-age	jj
guru	guru	nn1
called	call	vvn
Maharaj	maharaj	np1
Ji	ji	np1_nn1
.	.	y
Now	now	rt
he	he	pphs1
is	be	vbz
connected	connect	vvn
with	with	iw
an	an	at1
even	even	rr
more	more	rgr
unlikely	unlikely	jj
name	name	nn1
:	:	y
John	john	np1
Hancock	hancock	np1
.	.	y
Yes	yes	uh
,	,	y
Davis	davis	np1
is	be	vbz
a	a	at1
trainee	trainee	nn1
at	at	ii
the	the	at
insurance	insurance	nn1
company	company	nn1
's	's	ge_vbz
Denver	denver	np1
office	office	nn1
.	.	y
Says	say	vvz
he	he	pphs1
of	of	io
his	his	appge
new	new	jj
constituency	constituency	nn1
:	:	y
"	"	"
We	we	ppis2
have	have	vh0
to	to	to
get	get	vvi
the	the	at
business	business	nn1
to	to	ii
the	the	at
level	level	nn1_jj
where	where	cs_rrq
the	the	at
cash	cash	nn1
flow	flow	nn1
is	be	vbz
good	good	jj_rr%
so	so	cs@_rr
the	the	at
business	business	nn1
can	can	vm
operate	operate	vvi
as	as	ii
a	a	at1
beautiful	beautiful	jj
family	family	nn1
.	.	y
"	"	"
Far	far	rr
out	out	rp
.	.	y
