@@292752	##	fo
For	for	if
House	house	nn1
Speaker	speaker	nn1
Tip	tip	nn1_vv0
O'Neill	o'neill	np1
's	's	ge
ancestors	ancestor	nn2
in	in	ii
Ireland	ireland	np1
,	,	y
potatoes	potato	nn2
were	be	vbdr
a	a	at1
dietary	dietary	jj
staple	staple	nn1
,	,	y
the	the	at
only	only	jj
means	mean	nn
of	of	io
survival	survival	nn1
.	.	y
The	the	at
potato	potato	nn1
blight	blight	nn1
struck	strike	vvd_vvn
,	,	y
and	and	cc
they	they	pphs2
migrated	migrate	vvd
to	to	ii
America	america	np1
.	.	y
So	so	rr
the	the	at
side	side	nn1
dish	dish	nn1_vv0@
that	that	cst
O'Neill	o'neill	np1
discovered	discover	vvd
at	at	ii
the	the	at
fashionable	fashionable	jj
Prime	prime	jj
Rib	rib	nn1
restaurant	restaurant	nn1
in	in	ii
Washington	washington	np1
boiled	boil	vvd@
his	his	appge
ancestral	ancestral	jj
blood	blood	nn1
:	:	y
fried	fried	jj
potato	potato	nn1
peels	peel	vvz_nn2
at	at	ii
$2.50	$2.50	nnu
a	a	at1
portion	portion	nn1
.	.	y
"	"	"
Two-fifty	two-fifty	mc
!	!	!
"	"	"
he	he	pphs1
exclaimed	exclaim	vvd
.	.	y
"	"	"
And	and	cc
there	there	ex
's	be	vbz
no	no	at
potato	potato	nn1
!	!	!
"	"	"
