@@317430	##	fo
Conservative	conservative	jj_nn1
Episcopalians	episcopalian	nn2
angered	anger	vvn
by	by	ii
their	their	appge
denomination	denomination	nn1
's	's	ge
decision	decision	nn1
to	to	to
ordain	ordain	vvi
women	woman	nn2
as	as	csa_ii@
priests	priest	nn2
have	have	vh0
been	be	vbn
quitting	quit	vvg
the	the	at
Mother	mother	nnb
Church	church	np1
to	to	to
form	form	vvi
their	their	appge
own	own	da
"	"	"
Anglican	anglican	jj_nn1
Church	church	nn1
of	of	io
North	north	nd1
America	america	np1
.	.	y
"	"	"
Last	last	md
week	week	nnt1
members	member	nn2
of	of	io
Good	good	jj_np1@
Shepherd	shepherd	nn1_np1
,	,	y
the	the	at
second	second	md
oldest	old	jjt
Episcopal	episcopal	jj
church	church	nn1
in	in	ii
Columbia	columbia	np1
,	,	y
S.C.	s.c./	np1
,	,	y
voted	vote	vvd_vvn
104	104	mc
to	to	ii
48	48	mc
to	to	to
join	join	vvi
the	the	at
schism	schism	nn1
.	.	y
And	and	cc
where	where	rrq
will	will	vm
the	the	at
separatists	separatist	nn2
hold	hold	vvi
services	service	nn2
?	?	y
At	at	ii
the	the	at
Young	young	jj
Women	woman	nn2
's	's	ge
Christian	christian	jj
Association	association	nn1
in	in	ii
downtown	downtown	jj_rl
Columbia	columbia	np1
,	,	y
that	that	dd1
's	be	vbz
where	where	rrq
.	.	y
"	"	"
Maybe	maybe	rr
this	this	dd1
is	be	vbz
God	god	np1
's	's	ge
way	way	nn1
of	of	io
underscoring	underscore	vvg
the	the	at
fact	fact	nn1
that	that	cst
this	this	dd1
is	be	vbz
not	not	xx
an	an	at1
antifeminist	antifeminist	nn1
movement	movement	nn1
,	,	y
"	"	"
said	say	vvd
Irvin	irvin	np1
D.	d.-	np1
Parker	parker	np1
,	,	y
one	one	mc1
of	of	io
the	the	at
new	new	jj
dissidents	dissident	nn2
.	.	y
At	at	ii
the	the	at
very	very	rg
least	least	rrt
,	,	y
somebody	somebody	pn1
has	have	vhz
a	a	at1
divine	divine	jj
sense	sense	nn1
of	of	io
humor	humor	nn1
.	.	y
