@@281494	##	fo
The	the	at
great	great	jj
American	american	jj
population	population	nn1
explosion	explosion	nn1
may	may	vm
have	have	vhi
fizzled	fizzle	vvn@	
,	,	y
but	but	ccb
copulation	copulation	nn1
seems	seem	vvz
to	to	to
be	be	vbi
more	more	rgr
popular	popular	jj
than	than	csn
ever	ever	rr
.	.	y
In	in	ii
1965	1965	mc
,	,	y
the	the	at
federally	federally	rr
funded	fund	vvn_jj
National	national	jj
Fertility	fertility	nn1
Study	study	nn1
,	,	y
which	which	ddq
polled	poll	vvd
some	some	dd
5,000	5,000	mc
women	woman	nn2
,	,	y
reported	report	vvd_vvn
that	that	cst
the	the	at
frequency	frequency	nn1
of	of	io
sexual	sexual	jj
intercourse	intercourse	nn1
for	for	if
married	married	jj
women	woman	nn2
under	under	rg
45	45	mc
in	in	ii
the	the	at
U.S.	u.s.-	np1
averaged	average	vvd
6.8	6.8	mc
times	time	nnt2
a	a	at1
month	month	nnt1
.	.	y
A	a	at1_zz1
follow-up	follow-up	jj_nn1
study	study	nn1
reveals	reveal	vvz
what	what	ddq
the	the	at
country	country	nn1
's	's	ge
married	married	jj
couples	couple	nn2
have	have	vh0
been	be	vbn
doing	do	vdg
since	since	ii
then	then	rt
.	.	y
On	on	ii
the	the	at
basis	basis	nn1
of	of	io
interviews	interview	nn2
with	with	iw
4,000	4,000	mc
women	woman	nn2
in	in	ii
every	every	at1
social	social	jj
and	and	cc
economic	economic	jj
class	class	nn1
and	and	cc
a	a	at1
comparison	comparison	nn1
of	of	io
the	the	at
yearly	yearly	jj
rates	rate	nn2
of	of	io
unwanted	unwanted	jj
pregnancies	pregnancy	nn2
by	by	ii
couples	couple	nn2
who	who	pnqs
do	do	vd0
not	not	xx
practice	practice	nn1
birth	birth	nn1
control	control	nn1
,	,	y
Charles	charles	np1
Westoff	westoff	nn1_np1	
of	of	io
Princeton	princeton	np1
University	university	nn1
's	's	ge
Office	office	nn1
of	of	io
Population	population	nn1
Research	research	nn1
concludes	conclude	vvz
that	that	cst
Americans	american	nn2
made	make	vvd_vvn
love	love	nn1
more	more	rgr_rrr
often	often	rr
in	in	ii
the	the	at
five	five	mc
years	year	nnt2
ending	end	vvg
in	in	ii
1970	1970	mc
than	than	csn
they	they	pphs2
did	do	vdd
in	in	ii
1965	1965	mc
.	.	y
The	the	at
frequency	frequency	nn1
of	of	io
intercourse	intercourse	nn1
is	be	vbz
up	up	rp
20%	20%	nnu
,	,	y
to	to	ii_to
nearly	nearly	rr
8.2	8.2	mc
times	time	nnt2
a	a	at1
month	month	nnt1
.	.	y
