@@349733	##	fo
The	the	at
rains	rain	nn2@
have	have	vh0
been	be	vbn
plentiful	plentiful	jj
,	,	y
and	and	cc
the	the	at
sorghum	sorghum	nn1
is	be	vbz
growing	grow	vvg_jj
.	.	y
Still	still	rr
,	,	y
in	in	ii
southern	southern	jj
Sudan	sudan	np1
the	the	at
old	old	jj
,	,	y
the	the	at
young	young	jj
and	and	cc
the	the	at
weak	weak	jj
are	be	vbr
dying	die	vvg_jj
of	of	io
starvation	starvation	nn1
:	:	y
a	a	at1
frail	frail	jj
child	child	nn1
is	be	vbz
barely	barely	rr
able	able	jk
to	to	to
share	share	vvi
a	a	at1
meager	meager	jj
meal	meal	nn1
with	with	iw
his	his	appge
father	father	nn1
at	at	ii
a	a	at1
feeding	feeding	jj@_nn1@
center	center	nn1
;	;	y
a	a	at1
desperately	desperately	rr
weak	weak	jj
man	man	nn1
stares	stare	vvz_nn2
at	at	ii
a	a	at1
bowl	bowl	nn1
of	of	io
water	water	nn1
;	;	y
another	another	dd1
is	be	vbz
huddled	huddle	vvn
by	by	ii
the	the	at
remains	remain	nn2%
of	of	io
a	a	at1
fire	fire	nn1
with	with	iw
a	a	at1
packet	packet	nn1
of	of	io
rehydration	rehydration	nn1
salts	salt	nn2
.	.	y
As	as	csa_rg@
earlier	early	jjr_rrr
in	in	ii
Ethiopia	ethiopia	np1
and	and	cc
Somalia	somalia	np1
,	,	y
this	this	dd1
famine	famine	nn1
is	be	vbz
in	in	rr21
part	part	rr22
the	the	at
result	result	nn1
of	of	io
civil	civil	jj
war	war	nn1
.	.	y
Initially	initially	rr
the	the	at
fighting	fight	nn1
pitted	pit	vvd
the	the	at
Muslim	muslim	jj
government	government	nn1
in	in	ii
Khartoum	khartoum	np1
against	against	ii
Christian	christian	jj
rebels	rebel	nn2
in	in	ii
the	the	at
south	south	nd1
;	;	y
now	now	rt
the	the	at
rebels	rebel	nn2
are	be	vbr
also	also	rr
killing	kill	vvg
one	one	ppx121
another	another	ppx122
.	.	y
No	no	pn121
one	one	pn122
knows	know	vvz
how	how	rgq@_rrq
many	many	da2
are	be	vbr
starving	starve	jj_vvg@
,	,	y
but	but	ccb
in	in	ii
a	a	at1
cycle	cycle	nn1
of	of	io
hatred	hatred	nn1
and	and	cc
revenge	revenge	nn1
,	,	y
peace	peace	nn1
is	be	vbz
not	not	xx
in	in	ii
sight	sight	nn1
,	,	y
nor	nor	cc
is	be	vbz
an	an	at1
end	end	nn1
to	to	ii
hunger	hunger	nn1
.	.	y
