@@343964	##	fo
Should	should	vm
works	work	nn
of	of	io
art	art	nn1
carry	carry	vv0
a	a	at1
government	government	nn1
health	health	nn1
warning	warning	nn1
?	?	y
A	a	at1
piece	piece	nn1
being	be	vbg
displayed	display	vvn
at	at	ii
New	new	np1
York	york	np1
City	city	nn1
's	's	ge
New	new	jj
Museum	museum	nn1
of	of	io
Contemporary	contemporary	jj
Art	art	nn1
could	could	vm
have	have	vhi
used	use	vvn
such	such	da
a	a	at1
caveat	caveat	nn1
.	.	y
When	when	cs_rrq
Eclipse	eclipse	nn1
of	of	io
the	the	at
Earth	earth	nn1
by	by	ii
Kazuo	kazuo	np1
Katase	katase	np1_nn1
was	be	vbdz
installed	install	vvn
last	last	md
month	month	nnt1
,	,	y
the	the	at
work	work	nn1
's	's	ge_vbz
dusty	dusty	jj
red	red	jj_nn1
coloring	color	nn1_vvg
agent	agent	nn1
contained	contain	vvd_vvn_jj@
zinc	zinc	nn1
sulfide	sulfide	nn1
and	and	cc
barium	barium	nn1
sulfate	sulfate	nn1
.	.	y
The	the	at
chemicals	chemical	nn2
caused	cause	vvd_vvn
severe	severe	jj
respiratory	respiratory	jj
and	and	cc
skin	skin	nn1_vv0@
problems	problem	nn2
for	for	if
some	some	dd
employees	employee	nn2
,	,	y
they	they	pphs2
claim	claim	vv0
.	.	y
A	a	at1_zz1
staff	staff	nn
memo	memo	nn1
admitted	admit	vvd_vvn
that	that	dd1_cst
"	"	"
ingestion	ingestion	nn1
of	of	io
the	the	at
pigment	pigment	nn1
will	will	vm
cause	cause	vvi
illness	illness	nn1
,	,	y
and	and	cc
the	the	at
inhalation	inhalation	nn1
of	of	io
the	the	at
dust	dust	nn1
is	be	vbz
known	know	vvn
to	to	to
cause	cause	vvi
lung	lung	nn1
irritation	irritation	nn1
.	.	y
"	"	"
Although	although	cs
the	the	at
powder	powder	nn1
was	be	vbdz
replaced	replace	vvn
12	12	mc
days	day	nnt2
later	later	rrr
,	,	y
three	three	mc
workers	worker	nn2
resigned	resign	vvn_vvd_jj
and	and	cc
a	a	at1
fourth	fourth	md
entered	enter	vvd_vvn
the	the	at
hospital	hospital	nn1
for	for	if
treatment	treatment	nn1
.	.	y
