@@341662	##	fo
It	it	pph1
might	might	vm
cheer	cheer	vvi
Saddam	saddam	np1
Hussein	hussein	np1
to	to	to
learn	learn	vvi
that	that	cst
he	he	pphs1
has	have	vhz
a	a	at1
hard	hard	jj
core	core	nn1
of	of	io
Western	western	jj_np1
supporters	supporter	nn2
 -- 	--	nn1_jj
specifically	specifically	rr
,	,	y
South	south	np1
American	american	jj
drug	drug	nn1
smugglers	smuggler	nn2
.	.	y
The	the	at
narcotraficantes	narcotraficantes	nn2
did	do	vdd
n't	n't	xx
need	need	vvi
long	long	jj_rr
to	to	to
figure	figure	vvi
out	out	rp
that	that	cst
the	the	at
U.S.	u.s.-	np1
military	military	jj
buildup	buildup	nn1
in	in	ii
the	the	at
Persian	persian	jj
Gulf	gulf	nn1
may	may	vm
mean	mean	vvi
the	the	at
redeployment	redeployment	nn1
of	of	io
AWACS	awacs	np2_nn2
and	and	cc
other	other	jj
surveillance	surveillance	nn1
equipment	equipment	nn1
away	away	ii21
from	from	ii22
the	the	at
war	war	nn1
on	on	ii
drugs	drug	nn2
.	.	y
"	"	"
The	the	at
people	people	nn
we	we	ppis2
look	look	vv0
at	at	ii
are	be	vbr
in	in	ii
a	a	at1
chess	chess	nn1
game	game	nn1
,	,	y
"	"	"
says	say	vvz
a	a	at1
U.S.	u.s.-	np1
customs	custom	nn2
official	official	nn1_jj
.	.	y
"	"	"
They	they	pphs2
do	do	vd0
a	a	at1
constant	constant	jj
threat	threat	nn1
update	update	nn1_vv0
,	,	y
just	just	rr
as	as	csa
we	we	ppis2
do	do	vd0
.	.	y
"	"	"
And	and	cc
the	the	at
threat	threat	nn1
to	to	ii
traffickers	trafficker	nn2
figures	figure	vvz@_nn2
to	to	to
diminish	diminish	vvi
,	,	y
particularly	particularly	rr
if	if	cs
a	a	at1
hard-pressed	hard-pressed	jj
Pentagon	pentagon	nn1@_np1
delays	delay	nn2
or	or	cc
cancels	cancel	vvz
plans	plan	nn2_vvz
to	to	to
improve	improve	vvi
U.S.	u.s.-	np1
antidrug	antidrug	nn1_vv0
surveillance	surveillance	nn1
in	in	ii
the	the	at
Caribbean	caribbean	jj_np1
.	.	y
