@@342762	##	fo
The	the	at
ominous	ominous	jj
silence	silence	nn1
after	after	ii_cs
distress	distress	nn1
calls	call	vvz_nn2
from	from	ii
Amelia	amelia	np1
Earhart	earhart	np1
's	's	ge
twin-engine	twin-engine	jj_nn1
Lockheed	lockheed	np1
10-E	10-e	np1	
Electra	electra	np1
in	in	ii
the	the	at
Pacific	pacific	np1
in	in	ii
1937	1937	mc
touched	touch	vvd_vvn
off	off	rp_ii
one	one	mc1
of	of	io
aviation	aviation	nn1
's	's	ge
greatest	greatest	jjt
mysteries	mystery	nn2
.	.	y
Last	last	md
week	week	nnt1
the	the	at
FBI	fbi	np1
confirmed	confirm	vvd
that	that	cst
a	a	at1
likely	likely	jj
clue	clue	nn1
to	to	ii
her	her	appge
last	last	md
landing	land	nn1
site	site	nn1
had	have	vhd
been	be	vbn
found	find	vvn
.	.	y
It	it	pph1
was	be	vbdz
an	an	at1
aluminum	aluminum	nn1
map	map	nn1
case	case	nn1
recovered	recover	vvn
by	by	ii
a	a	at1
group	group	nn1
of	of	io
aircraft	aircraft	nn
archaeologists	archaeologist	nn2
on	on	ii
Nikumaroro	nikumaroro	np1_nn1	
,	,	y
an	an	at1
atoll	atoll	nn1
420	420	mc
miles	mile	nnu2
southeast	southeast	nd1
of	of	io
Howland	howland	np1
Island	island	nnl1
,	,	y
her	her	appge
destination	destination	nn1
.	.	y
<P>	<p>	null	
The	the	at
FBI	fbi	np1
analysis	analysis	nn1
of	of	io
the	the	at
breadbox-size	breadbox-size	jj	
container	container	nn1
revealed	reveal	vvd_vvn
that	that	cst
its	its	appge
paint	paint	nn1
was	be	vbdz
a	a	at1
type	type	nn1
used	use	vvn
at	at	ii
the	the	at
time	time	nnt1
on	on	ii
civilian	civilian	jj_nn1
versions	version	nn2
of	of	io
a	a	at1
military	military	jj
navigator	navigator	nn1
's	's	ge
case	case	nn1
.	.	y
The	the	at
box	box	nn1
could	could	vm
have	have	vhi
fit	fit	jj
exactly	exactly	rr
under	under	ii
the	the	at
table	table	nn1
used	use	vvn
by	by	ii
Earhart	earhart	np1
's	's	ge
navigator	navigator	nn1
,	,	y
Fred	fred	np1
Noonan	noonan	np1_nn1
.	.	y
Richard	richard	np1
Gillespie	gillespie	np1
,	,	y
executive	executive	nn1_jj@
director	director	nn1
of	of	io
the	the	at
International	international	jj
Group	group	nn1
for	for	if
Historic	historic	jj
Aircraft	aircraft	nn
Recovery	recovery	nn1
,	,	y
which	which	ddq
found	find	vvd
the	the	at
case	case	nn1
,	,	y
suggested	suggest	vvd_vvn
that	that	cst
Earhart	earhart	np1
had	have	vhd
landed	land	vvn
on	on	ii
a	a	at1
reef	reef	nn1
.	.	y
With	with	iw
temperatures	temperature	nn2
up	up	rg21
to	to	rg22
120	120	mc
degrees	degree	nn2
F	f	zz1
and	and	cc
no	no	at
fresh	fresh	jj
water	water	nn1
available	available	jj
,	,	y
survival	survival	nn1
was	be	vbdz
virtually	virtually	rr
impossible	impossible	jj
.	.	y
