@@350989	##	fo
U.S.	u.s.-	np1
Secretary	secretary	nn1
of	of	io
State	state	nn1
Warren	warren	np1
Christopher	christopher	np1
took	take	vvd
heat	heat	nn1
from	from	ii
Congress	congress	nn1
for	for	if
his	his	appge
chilly	chilly	jj
reception	reception	nn1
in	in	ii
Beijing	beijing	np1
two	two	mc
weeks	week	nnt2
ago	ago	ra
.	.	y
But	but	ccb
what	what	ddq
Christopher	christopher	np1
's	's	ge
critics	critic	nn2
did	do	vdd
n't	n't	xx
know	know	vvi
is	be	vbz
that	that	cst
the	the	at
advance	advance	nn1_jj@
foray	foray	nn1
by	by	ii
one	one	mc1
of	of	io
his	his	appge
deputies	deputy	nn2
that	that	cst
so	so	rr
irritated	irritate	vvd_vvn
the	the	at
Chinese	chinese	nn1@_np1@_jj
was	be	vbdz
carried	carry	vvn
out	out	rp
without	without	iw
Christopher	christopher	np1
's	's	ge
knowledge	knowledge	nn1
.	.	y
The	the	at
Secretary	secretary	nn1
was	be	vbdz
unaware	unaware	jj
that	that	cst
John	john	np1
Shattuck	shattuck	np1
,	,	y
Assistant	assistant	jj_nn1
Secretary	secretary	nn1
of	of	io
State	state	nn1
for	for	if
Human	human	jj_nn1
Rights	right	nn2
,	,	y
was	be	vbdz
meeting	meet	vvg
a	a	at1
week	week	nnt1
earlier	early	rrr
with	with	iw
Chinese	chinese	jj
dissident	dissident	jj_nn1
leader	leader	nn1
Wei	wei	np1_nn2@
Jingsheng	jingsheng	np1_nn1_vv0	
.	.	y
The	the	at
U.S.	u.s.-	np1
embassy	embassy	nn1
arranged	arrange	vvd_vvn
the	the	at
visit	visit	nn1
at	at	ii
the	the	at
last	last	md
minute	minute	nnt1
and	and	cc
expected	expect	vvd_jj
Wei	wei	np1_nn2@
to	to	to
keep	keep	vvi
it	it	pph1
secret	secret	jj
.	.	y
