@@347535	##	fo
WANT	want	vv0
A	a	at1@_zz1
PREVIEW	preview	nn1
OF	of	io
HOW	how	rgq@_rrq
FIERCELY	fiercely	rr
INSURANCE	insurance	nn1
COMPANIES	company	nn2
might	might	vm
battle	battle	vvi
Bill	bill	np1
Clinton	clinton	np1
's	's	ge
health-care	health-care	nn1
proposals	proposal	nn2
?	?	y
Look	look	vv0
at	at	ii
the	the	at
way	way	nn1
national	national	jj
insurers	insurer	nn2
are	be	vbr
pouring	pour	jj_vvg
cash	cash	nn1
into	into	ii
California	california	np1
to	to	to
defeat	defeat	vvi
PROPOSITION	proposition	nn1
166	166	mc
,	,	y
which	which	ddq
would	would	vm
require	require	vvi
all	all	db
employers	employer	nn2
to	to	to
provide	provide	vvi
health	health	nn1
coverage	coverage	nn1
for	for	if
workers	worker	nn2
.	.	y
Fearing	fear	vvg
that	that	dd1_cst
medical	medical	jj
costs	cost	nn2
could	could	vm
billow	billow	vvi
under	under	ii
the	the	at
plan	plan	nn1
,	,	y
insurance	insurance	nn1
firms	firm	nn2
with	with	iw
headquarters	headquarters	nn
outside	outside	ii
the	the	at
state	state	nn1
have	have	vh0
put	put	vvn
up	up	rp
more	more	dar_rrr
than	than	csn
80%	80%	nnu
of	of	io
the	the	at
$2.3	$2.3	nnu
million	million	m
that	that	dd1
opponents	opponent	nn2
have	have	vh0
raised	raise	vvn
to	to	to
defeat	defeat	vvi
it	it	pph1
.	.	y
The	the	at
companies	company	nn2
also	also	rr
fear	fear	vv0
that	that	cst
Clinton	clinton	np1
's	's	ge
proposal	proposal	nn1
for	for	if
a	a	at1
government-run	government-run	jj_nn1
program	program	nn1
for	for	if
employees	employee	nn2
not	not	xx
covered	cover	vvn
at	at	ii
work	work	nn1
could	could	vm
lead	lead	vvi
to	to	ii
federal	federal	jj
control	control	nn1
of	of	io
health	health	nn1
insurance	insurance	nn1
.	.	y
Frets	fret	vvz_nn2
one	one	mc1
executive	executive	nn1
about	about	ii
the	the	at
Clinton	clinton	np1
plan	plan	nn1_vv0
:	:	y
"	"	"
It	it	pph1
's	be	vbz
the	the	at
camel	camel	nn1
's	's	ge
nose	nose	nn1
under	under	ii
the	the	at
tent	tent	nn1
.	.	y
"	"	"
