@@219994	##	fo
Parliamentary	parliamentary	jj
fights	fight	nn2
are	be	vbr
all	all	db
the	the	at
rage	rage	nn1
in	in	ii
these	these	dd2
enlightened	enlightened	jj_vvn
modern	modern	jj
days	day	nnt2
.	.	y
<P>	<p>	null	
From	from	ii
Japan	japan	np1
comes	come	vvz
the	the	at
news	news	nn1
that	that	cst
the	the	at
Diet	diet	nn1
had	have	vhd
to	to	to
be	be	vbi
prorogued	prorogue	vvn@	
on	on	ii31
account	account	ii32
of	of	ii33
a	a	at1
free	free	jj
fight	fight	nn1
which	which	ddq
was	be	vbdz
started	start	vvn
by	by	ii
a	a	at1
motion	motion	nn1
of	of	io
the	the	at
opposition	opposition	nn1
to	to	to
impeach	impeach	vvi
the	the	at
Government	government	nn1
.	.	y
Trays	tray	nn2
and	and	cc
inkstands	inkstands	nn2
were	be	vbdr
flying	fly	vvg
through	through	ii
the	the	at
air	air	nn1
when	when	rrq_cs
,	,	y
in	in	ii
the	the	at
small	small	jj
hours	hour	nnt2
of	of	io
the	the	at
morning	morning	nnt1
,	,	y
the	the	at
Speaker	speaker	nn1
declared	declare	vvd_vvn
the	the	at
session	session	nnt1
closed	close	vvd_vvn
.	.	y
