@@163432	##	fo
At	at	ii
Kelly	kelly	np1
Field	field	np1
,	,	y
San	san	np1
Antonio	antonio	np1
,	,	y
Corporal	corporal	nnb
C.	c.-a	np1
Eugene	eugene	np1
Conrad	conrad	np1
entered	enter	vvd
an	an	at1
airplane	airplane	nn1
piloted	pilot	vvn
by	by	ii
Lieut	lieut	np1_nn1
.	.	y
Leland	leland	np1
S.	s.-a	np1
Andrews	andrews	np1
,	,	y
was	be	vbdz
lifted	lift	vvn
to	to	ii
a	a	at1
height	height	nn1
of	of	io
21,500	21,500	mc
feet	foot	nn2
(	(	y
almost	almost	rr
four	four	mc
miles	mile	nnu2
)	)	y
.	.	y
His	his	appge
fingers	finger	nn2
so	so	rg_rr
numb	numb	jj
with	with	iw
cold	cold	jj_nn1
that	that	cst
his	his	appge
hands	hand	nn2
had	have	vhd
to	to	to
be	be	vbi
placed	place	vvn
on	on	ii
the	the	at
rip	rip	nn1
cord	cord	nn1
of	of	io
his	his	appge
parachute	parachute	nn1
,	,	y
Corporal	corporal	nnb
Conrad	conrad	np1
stepped	step	vvd
into	into	ii
space	space	nn1
.	.	y
Eight	eight	mc
seconds	second	nnt2
after	after	cs
he	he	pphs1
stepped	step	vvd
,	,	y
he	he	pphs1
pulled	pull	vvd
the	the	at
rip	rip	nn1
cord	cord	nn1
.	.	y
Twenty-four	twenty-four	mc
minutes	minute	nnt2
and	and	cc
52	52	mc
seconds	second	nnt2
later	later	rrr
he	he	pphs1
landed	land	vvd
in	in	ii_rp@
an	an	at1
alley	alley	nn1
in	in	ii
the	the	at
exclusive	exclusive	jj
residential	residential	jj
section	section	nn1
of	of	io
San	san	np1
Antonio	antonio	np1
,	,	y
was	be	vbdz
surrounded	surround	vvn
by	by	ii
"	"	"
1,000	1,000	mc
cheering	cheer	jj@_vvg
school	school	nn1
children	child	nn2
.	.	y
"	"	"
Corporal	corporal	nnb
Conrad	conrad	np1
had	have	vhd
made	make	vvn
a	a	at1
world	world	nn1
's	's	ge
record	record	nn1
jump	jump	nn1_vv0
both	both	rr
for	for	if
height	height	nn1
and	and	cc
for	for	if
duration	duration	nn1
.	.	y
