@@163379	##	fo
Cardinal	cardinal	nnb
O'Connell	o'connell	np1
,	,	y
of	of	io
Boston	boston	np1
,	,	y
accompanied	accompany	vvn
by	by	ii
Mgr	mgr	np1
.	.	y
Michael	michael	np1
J.	j.-a	np1
Splaine	splaine	np1	
,	,	y
of	of	io
Boston	boston	np1
and	and	cc
Mgr	mgr	np1
.	.	y
Richard	richard	np1
J.	j.-a	np1
Haberlin	haberlin	np1	
,	,	y
Chancellor	chancellor	nn1
and	and	cc
Secretary	secretary	nn1
of	of	io
the	the	at
Boston	boston	np1
Archdiocese	archdiocese	np2_nn
,	,	y
recently	recently	rr
arrived	arrive	vvn_vvd
in	in	ii
Rome	rome	np1
from	from	ii
a	a	at1
pilgrimage	pilgrimage	nn1
to	to	ii
the	the	at
Holy	holy	jj
Land	land	nn1
.	.	y
Said	say	vvd
he	he	pphs1
:	:	y
"	"	"
Italy	italy	np1
has	have	vhz
undergone	undergo	vvn
a	a	at1
transformation	transformation	nn1
since	since	cs_ii@
Premier	premier	jj_nn1
Mussolini	mussolini	np1
has	have	vhz
been	be	vbn
in	in	ii
power	power	nn1
.	.	y
It	it	pph1
is	be	vbz
all	all	db_rr@
a	a	at1
real	real	jj
wonder	wonder	nn1
to	to	ii
me	me	ppio1
.	.	y
.	.	y
.	.	y
.	.	y
There	there	ex
is	be	vbz
order	order	nn1
,	,	y
industry	industry	nn1
and	and	cc
cleanliness	cleanliness	nn1
everywhere	everywhere	rl
.	.	y
"	"	"
