@@164012	##	fo
Giulio	giulio	np1
Gatti-Casazza	gatti-casazza	np1
directs	direct	vvz
that	that	dd1_cst
opera	opera	nn1
company	company	nn1
with	with	iw
most	most	dat
money	money	nn1
to	to	to
rent	rent	vvi
genius	genius	nn1
,	,	y
the	the	at
Metropolitan	metropolitan	jj
.	.	y
His	his	appge
wife	wife	nn1
,	,	y
Frances	frances	np1
Alda	alda	np1
,	,	y
is	be	vbz
the	the	at
greatest	greatest	jjt
soprano	soprano	nn1
of	of	io
New	new	np1
Zealand	zealand	np1
.	.	y
His	his	appge
friend	friend	nn1
,	,	y
Arturo	arturo	np1
Toscanini	toscanini	np1
,	,	y
is	be	vbz
,	,	y
say	say	vv0
most	most	dat
critics	critic	nn2
,	,	y
the	the	at
greatest	greatest	jjt
conductor	conductor	nn1
in	in	ii
the	the	at
world	world	nn1
.	.	y
La	la	np1
Scala	scala	np1
,	,	y
at	at	ii
Milan	milan	np1
,	,	y
is	be	vbz
the	the	at
most	most	rgt
famed	famed	jj
,	,	y
opera	opera	nn1
house	house	nn1
in	in	ii
Europe	europe	np1
.	.	y
<P>	<p>	null	
Twenty	twenty	mc
years	year	nnt2
ago	ago	ra
,	,	y
in	in	ii
La	la	np1
Scala	scala	np1
,	,	y
Signer	signer	np1
Gatti	gatti	np1
directed	direct	vvd
,	,	y
Signer	signer	np1
Toscanini	toscanini	np1
conducted	conduct	vvd
,	,	y
and	and	cc
the	the	at
present	present	jj_nn1
Donna	donna	np1_nn1
Gatti-Casazza	gatti-casazza	np1
sang	sing	vvd
Martha	martha	np1
.	.	y
Next	next	md
September	september	npm1
,	,	y
by	by	ii
invitation	invitation	nn1
of	of	io
Signer	signer	np1_nn1
Toscanini	toscanini	np1_nn1
,	,	y
the	the	at
three	three	mc
superlative	superlative	jj
humans	human	nn2
will	will	vm
again	again	rt
collaborate	collaborate	vvi
in	in	ii_rp@
their	their	appge
old	old	jj
roles	role	nn2
at	at	ii
the	the	at
superlative	superlative	jj_nn1
opera	opera	nn1
house	house	nn1
in	in	ii
Milan	milan	np1
,	,	y
when	when	rrq
Martha	martha	np1
will	will	vm
be	be	vbi
revived	revive	vvn
as	as	csa
was	be	vbdz
.	.	y
