@@220234	##	fo
Herr	herr	nnb
Gessler	gessler	np1
,	,	y
Minister	minister	nn1
of	of	io
Defense	defense	nn1
,	,	y
made	make	vvd_vvn
a	a	at1
speech	speech	nn1
to	to	ii
the	the	at
Reichstag	reichstag	np1
in	in	ii
which	which	ddq
he	he	pphs1
said	say	vvd
:	:	y
"	"	"
Will	will	vm
a	a	at1
nation	nation	nn1
of	of	io
sixty	sixty	mc
millions	millions	m
remain	remain	vv0
impassive	impassive	jj
while	while	cs
our	our	appge
brothers	brother	nn2
in	in	ii
the	the	at
Ruhr	ruhr	np1
are	be	vbr
being	be	vbg
strangled	strangle	vvn
by	by	ii
white	white	jj_nn1@
and	and	cc
black	black	jj
Frenchmen	frenchman	nn2
?	?	y
Our	our	appge
defence	defense	nn1
army	army	nn1
of	of	io
100,000	100,000	mc
may	may	vm
not	not	xx
accomplish	accomplish	vvi
much	much	rr_da1
,	,	y
but	but	ccb
I	i	ppis1
have	have	vh0
no	no	at
doubt	doubt	nn1
that	that	cst
a	a	at1
well-organized	well-organized	jj_nn1
guerrilla	guerrilla	nn1
war	war	nn1
on	on	ii
our	our	appge
own	own	da
soil	soil	nn1
would	would	vm
soon	soon	rr
end	end	vvi
with	with	iw
the	the	at
enemy	enemy	nn1
's	's	ge
destruction	destruction	nn1
.	.	y
"	"	"
