@@695258	##	fo
txt	txt	nnu
Samuel	samuel	np1
Doria	doria	np1
,	,	y
16	16	mc
,	,	y
of	of	io
?	?	y
1100	1100	mc
South	south	nd1
Mansfield	mansfield	np1
avenue	avenue	nn1
,	,	y
was	be	vbdz
killed	kill	vvn
yesterday	yesterday	rt
afternoon	afternoon	nnt1
by	by	ii
an	an	at1
auto	auto	nn1
owner	owner	nn1
who	who	pnqs
said	say	vvd
he	he	pphs1
had	have	vhd
.	.	y
seen	see	vvn
Samuel	samuel	np1
and	and	cc
two	two	mc
companions	companion	nn2
stripping	strip	vvg
his	his	appge
car	car	nn1
of	of	io
accessories	accessory	nn2
.	.	y
The	the	at
shooting	shoot	nn1
occurred	occur	vvd_vvn@
at	at	ii
Congress	congress	nn1
street	street	nn1
and	and	cc
Ashland	ashland	np1
avenue	avenue	nn1
,	,	y
Wal	wal	np1
?	?	y
ter	to	rr
Rogers	rogers	np1
,	,	y
20	20	mc
,	,	y
of	of	io
867	867	mc
Galt	galt	np1_nn1_vv0
avenue	avenue	nn1
.	.	y
who	who	pnqs
did	do	vdd
the	the	at
killing	killing	nn1
,	,	y
fired	fire	vvn_vvd
from	from	ii
the	the	at
window	window	nn1
of	of	io
a	a	at1
factory	factory	nn1
where	where	cs_rrq
he	he	pphs1
is	be	vbz
employed	employ	vvn
.	.	y
Young	young	np1@_jj
Doria	doria	np1
's	's	ge
companions	companion	nn2
hurried	hurry	vvd_vvn
him	him	ppho1
to	to	ii
the	the	at
County	county	nn1
hospital	hospital	nn1
and	and	cc
fled	flee	vvn_vvd
without	without	iw
giving	give	vvg
their	their	appge
names	name	nn2
.	.	y
Police	police	nn2
were	be	vbdr
searching	search	vvg
for	for	if
them	them	ppho2
last	last	md
night	night	nnt1
.	.	y
Doria	doria	np1@_nn1	
died	die	vvd
within	within	ii
a	a	at1
few	few	da2
minutes	minute	nnt2
after	after	ii
reaching	reach	vvg
the	the	at
hospital	hospital	nn1
.	.	y
Rogers	rogers	np1
is	be	vbz
being	be	vbg
held	hold	vvn
at	at	ii
Warren	warren	np1
avenue	avenue	nn1
station	station	nn1
.	.	y
The	the	at
body	body	nn1
of	of	io
Doria	doria	np1
was	be	vbdz
identified	identify	vvn
by	by	ii
?	?	y
his	his	appge
father	father	nn1
.	.	y
