@@300923	##	fo
Capital	capital	nn1_jj@
punishment	punishment	nn1
was	be	vbdz
established	establish	vvn
in	in	ii
Italy	italy	np1
by	by	ii
Benito	benito	np1
Mussolini	mussolini	np1
,	,	y
for	for	if
a	a	at1
trial	trial	nn1
period	period	nn1
of	of	io
five	five	mc
years	year	nnt2
last	last	md
year	year	nnt1
.	.	y
Last	last	md
week	week	nnt1
the	the	at
new	new	jj
law	law	nn1
operated	operate	vvn
for	for	if
the	the	at
first	first	md
time	time	nnt1
,	,	y
when	when	rrq
a	a	at1
firing	fire	nn1
squad	squad	nn1
of	of	io
Fascist	fascist	jj
Legionnaires	legionnaire	nn2_np1
shot	shoot	vvd_vvn
down	down	rp_ii@
one	one	mc1
Michele	michele	nn1@_np1
della	della	nn1
Maggiore	maggiore	nn1_np1	
,	,	y
a	a	at1
Communist	communist	jj
convicted	convicted	jj
of	of	io
murdering	murder	vvg_jj
two	two	mc
Fascisti	fascisti	jj_np1_nn1_nn2@	
.	.	y
This	this	dd1
was	be	vbdz
the	the	at
first	first	md
execution	execution	nn1
of	of	io
an	an	at1
Italian	italian	nn1_jj
in	in	ii
peace	peace	nn1
time	time	nnt1
,	,	y
since	since	cs
the	the	at
penal	penal	jj
code	code	nn1
abolished	abolish	vvn_vvd@
the	the	at
death	death	nn1
penalty	penalty	nn1
40	40	mc
years	year	nnt2
ago	ago	ra
.	.	y
