@@253420	##	fo
Closely	closely	rr
following	follow	vvg
in	in	ii
the	the	at
footsteps	footstep	nn2
of	of	io
Manitoba	manitoba	np1
,	,	y
the	the	at
Province	province	nn1
of	of	io
Saskatchewan	saskatchewan	np1
clambered	clamber	vvd
down	down	rp
from	from	ii
the	the	at
water	water	nn1
wagon	wagon	nn1
on	on	ii
which	which	ddq
both	both	db2_rr
had	have	vhd
clambered	clamber	vvn
so	so	rg
recently	recently	rr
as	as	csa_rg@
1920	1920	mc
.	.	y
The	the	at
majority	majority	nn1
in	in	ii31
favor	favor	ii32
of	of	ii33
the	the	at
descent	descent	nn1
was	be	vbdz
stated	state	vvn
to	to	to
be	be	vbi
"	"	"
overwhelming	overwhelming	jj
.	.	y
"	"	"
<P>	<p>	null	
The	the	at
"	"	"
dry	dry	jj
"	"	"
provinces	province	nn2
are	be	vbr
:	:	y
Prince	prince	nnb
Edward	edward	np1
Island	island	nn1
,	,	y
Nova	nova	np1
Scotia	scotia	np1
,	,	y
New	new	np1
Brunswick	brunswick	np1
,	,	y
Ontario	ontario	np1
,	,	y
the	the	at
latter	latter	da
of	of	io
which	which	ddq
is	be	vbz
to	to	to
wage	wage	vvi
a	a	at1
furious	furious	jj
battle	battle	nn1
in	in	ii
the	the	at
Fall	fall	nn1
to	to	to
decide	decide	vvi
the	the	at
vexing	vexing	jj@_nn1@
question	question	nn1
of	of	io
prohibition	prohibition	nn1
.	.	y
As	as	csa_rg@
almost	almost	rr
one-third	one-third	mf
of	of	io
the	the	at
entire	entire	jj
population	population	nn1
of	of	io
Canada	canada	np1
lives	live	vvz_nn2
in	in	ii
Ontario	ontario	np1
,	,	y
the	the	at
outcome	outcome	nn1
of	of	io
the	the	at
fight	fight	nn1
is	be	vbz
not	not	xx
without	without	iw
moment	moment	nn1
to	to	ii
wets	wet	nn2
and	and	cc
drys	dry	vvz
alike	alike	rr_jj
.	.	y
The	the	at
Drys	dry	vvz
were	be	vbdr
reported	report	vvn
to	to	to
be	be	vbi
preparing	prepare	vvg
a	a	at1
desperate	desperate	jj
defense	defense	nn1
against	against	ii
the	the	at
Wets	wet	nn2
,	,	y
who	who	pnqs
were	be	vbdr
organizing	organize	vvg
a	a	at1
violent	violent	jj
at	at	ii
tack	tack	nn1@
on	on	ii
the	the	at
Drys	dry	vvz
.	.	y
<P>	<p>	null	
The	the	at
wet	wet	jj
Provinces	province	nn2
:	:	y
Quebec	quebec	np1
,	,	y
Manitoba	manitoba	np1
,	,	y
British	british	np1
Columbia	columbia	np1
,	,	y
Alberta	alberta	np1
,	,	y
Saskatchewan	saskatchewan	np1
,	,	y
Yukon	yukon	np1
,	,	y
Northwest	northwest	np1
Territories	territory	nn2
.	.	y
