@@693925	##	fo
txt	txt	nnu
Carroll	carroll	np1
,	,	y
New	new	np1
York	york	np1
theatrical	theatrical	jj
producer	producer	nn1
,	,	y
early	early	rr
today	today	rt
was	be	vbdz
placed	place	vvn
aboard	aboard	ii
a	a	at1
sleeping	sleep	jj_nn1
car	car	nn1
of	of	io
a	a	at1
train	train	nn1
here	here	rl
to	to	ii
Atlanta	atlanta	np1
,	,	y
where	where	cs_rrq
he	he	pphs1
will	will	vm
commence	commence	vvi
serving	serve	vvg
a	a	at1
Year	year	nnt1
and	and	cc
a	a	at1
day	day	nnt1
sentence	sentence	nn1
in	in	ii
the	the	at
,	,	y
federal	federal	jj
penitentiary	penitentiary	nn1_jj
for	for	if
perjury	perjury	nn1
In	in	ii31
connection	connection	ii32
with	with	ii33
his	his	appge
"	"	"
bathtub	bathtub	nn1
"	"	"
party	party	nn1
.	.	y
Carroll	carroll	np1
appeared	appear	vvd
pale	pale	jj
and	and	cc
thin	thin	jj
as	as	csa
he	he	pphs1
wan	wan	jj_vv0@
carried	carry	vvn_vvd
from	from	ii
the	the	at
hospital	hospital	nn1
In	in	ii
an	an	at1
ambulance	ambulance	nn1
to	to	ii
the	the	at
train	train	nn1
.	.	y
His	his	appge
physiclans	physiclans	nn2	
said	say	vvd
that	that	cst
his	his	appge
condition	condition	nn1
was	be	vbdz
about	about	ii
the	the	at
same	same	da
as	as	csa
for	for	if
the	the	at
last	last	md
few	few	da2
days	day	nnt2
.	.	y
The	the	at
theatrical	theatrical	jj
producer	producer	nn1
has	have	vhz
been	be	vbn
ill	ill	jj
iri	ir	nn2
a	a	at1
hospital	hospital	nn1
here	here	rl
for	for	if
more	more	dar
than	than	csn
a	a	at1
Month	month	nnt1
,	,	y
having	have	vhg
suffered	suffer	vvn
a	a	at1
nervous	nervous	jj
collapse	collapse	nn1
on	on	ii
the	the	at
train	train	nn1
bringing	bring	vvg
him	him	ppho1
from	from	ii
New	new	np1
York	york	np1
to	to	ii
the	the	at
'	'	ge
penitentiary	penitentiary	nn1_jj
.	.	y
Ills	ill	nn2
wife	wife	nn1
,	,	y
accompanied	accompany	vvn
by	by	ii
Norman	norman	np1
Carroll	carroll	np1
,	,	y
a	a	at1
brother	brother	nn1
,	,	y
rode	ride	vvd
in	in	ii
the	the	at
ambulance	ambulance	nn1
to	to	ii
the	the	at
station	station	nn1
.	.	y
She	she	pphs1
wept	weep	vvd
bitterly	bitterly	rr
an	an	at1
he	he	pphs1
was	be	vbdz
carried	carry	vvn
aboard	aboard	ii
the	the	at
train	train	nn1
,	,	y
baying	bay	vvg
,	,	y
"	"	"
It	it	pph1
will	will	vm
kill	kill	vvi
him	him	ppho1
.	.	y
"	"	"
