@@163388	##	fo
Citlaltepetl	citlaltepetl	np1_nn1	
(	(	y
Mountain	mountain	nn1
of	of	io
the	the	at
Star	star	nn1
)	)	y
,	,	y
a	a	at1
volcano	volcano	nn1
18,000	18,000	mc
feet	foot	nn2
high	high	jj
and	and	cc
situated	situate	vvn
near	near	ii
Orizaba	orizaba	np1
in	in	ii
the	the	at
State	state	nn1
of	of	io
Vera	vera	np1
Cruz	cruz	np1
,	,	y
belched	belch	vvd
forth	forth	rr
showers	shower	nn2_vvz@
of	of	io
sulphur	sulphur	nn1
,	,	y
filling	fill	vvg
the	the	at
air	air	nn1
and	and	cc
covering	cover	vvg
the	the	at
ground	ground	nn1
for	for	if
miles	mile	nnu2
around	around	rp
.	.	y
Snow	snow	np1_vv0@_nn1
completely	completely	rr
disappeared	disappear	vvd
from	from	ii
the	the	at
summit	summit	nn1
,	,	y
its	its	appge
place	place	nn1
being	be	vbg
taken	take	vvn
by	by	ii
a	a	at1
cloud	cloud	nn1
of	of	io
sulphurous	sulphurous	jj
gas	gas	nn1
.	.	y
"	"	"
The	the	at
nearby	nearby	jj
dwellers	dweller	nn2
feared	fear	vvd_vvn
an	an	at1
eruption	eruption	nn1
.	.	y
"	"	"
