@@164696	##	fo
So	so	rg_rr_cs@
preponderantly	preponderantly	rr
and	and	cc
increasingly	increasingly	rr
Socialist	socialist	jj
and	and	cc
Pacifist	pacifist	nn1_jj	
are	be	vbr
the	the	at
Germans	german	nn2
of	of	io
today	today	rt
that	that	cst_dd1
,	,	y
last	last	md
week	week	nnt1
,	,	y
Socialist	socialist	jj
Prime	prime	jj
Minister	minister	nn1
Herman	herman	np1
Mller	mller	np1
announced	announce	vvd
,	,	y
for	for	if
the	the	at
first	first	md
time	time	nnt1
,	,	y
suspension	suspension	nn1
of	of	io
the	the	at
annual	annual	jj
army	army	nn1
maneuvers	maneuver	nn2_vvz
scheduled	schedule	vvn_jj
to	to	to
take	take	vvi
place	place	nn1
next	next	md
fall	fall	nn1
.	.	y
Simultaneously	simultaneously	rr
a	a	at1
letter	letter	nn1
sped	speed	vvd_vvn@
from	from	ii
Wilhelm	wilhelm	np1
II	ii	mc
to	to	ii
the	the	at
Kaiser	kaiser	nnb
Wilhelm	wilhelm	np1
Association	association	nn1
at	at	ii
Berlin	berlin	np1
,	,	y
stating	state	vvg
that	that	cst
the	the	at
onetime	onetime	jj
All	all	rr@
Highest	high	jjt
War	war	nn1
Lord	lord	nn1_np1
still	still	rr
envisions	envision	vvz
"	"	"
a	a	at1
day	day	nnt1
when	when	rrq
the	the	at
problem	problem	nn1
may	may	vm
arise	arise	vvi
of	of	io
liberating	liberate	vvg@
the	the	at
German	german	jj_nn1
Fatherland	fatherland	nn1
by	by	ii
reestablishing	re-establish	vvg
it	it	pph1
under	under	ii_rp@
its	its	appge
Kaiser	kaiser	nn1
and	and	cc
hereditary	hereditary	jj
Prince	prince	nn1
.	.	y
"	"	"
