@@220299	##	fo
Frank	frank	np1
R.	r.-he	np1
Kent	kent	np1
,	,	y
of	of	io
the	the	at
Baltimore	baltimore	np1
Sun	sun	nn1
,	,	y
has	have	vhz
a	a	at1
habit	habit	nn1
of	of	io
writing	write	vvg_nn1
articles	article	nn2
for	for	if
his	his	appge
paper	paper	nn1
that	that	cst_dd1
would	would	vm
be	be	vbi
produced	produce	vvn
in	in	rr21
toto	toto	rr22
in	in	ii
TIME	time	nnt1
would	would	vm
space	space	vvi
and	and	cc
the	the	at
copyright	copyright	nn1
law	law	nn1
permit	permit	nn1@_vv0
.	.	y
<P>	<p>	null	
In	in	ii
November	november	npm1
he	he	pphs1
wrote	write	vvd
a	a	at1
series	series	nn
on	on	ii
the	the	at
Anti-Saloon	anti-saloon	np1
League	league	nn1
and	and	cc
told	tell	vvd_vvn
more	more	dar
secrets	secret	nn2
about	about	ii
that	that	dd1
organization	organization	nn1
than	than	csn
Marco	marco	np1
Polo	polo	nn1
did	do	vdd
about	about	ii
China	china	np1
.	.	y
<P>	<p>	null	
In	in	ii
December	december	npm1
he	he	pphs1
obligingly	obligingly	rr
did	do	vdd
the	the	at
same	same	da
for	for	if
the	the	at
Ku	ku	np1_nn1
Klux	klux	np1_nn1
.	.	y
<P>	<p>	null	
Now	now	rt
Mr.	mr.-	nnb
Kent	kent	np1
expounds	expound	vvz
daily	daily	rr_jj
on	on	ii
"	"	"
The	the	at
Great	great	jj
Game	game	nn1
of	of	io
Politics	politics	nn1
.	.	y
"	"	"
If	if	cs
this	this	dd1
series	series	nn
appears	appear	vvz
in	in	ii
book	book	nn1
form	form	nn1_vv0
,	,	y
the	the	at
volume	volume	nn1
will	will	vm
gain	gain	vvi
high	high	jj_rr@
mention	mention	nn1_vv0
in	in	ii_rp@
at	at	rr21
least	least	rr22
one	one	mc1
review	review	nn1
.	.	y
