@@219705	##	fo
The	the	at
Congress	congress	nn1
of	of	io
the	the	at
All-Russian	all-russian	jj
Communist	communist	jj
Party	party	nn1
,	,	y
which	which	ddq
was	be	vbdz
to	to	to
have	have	vhi
been	be	vbn
begun	begin	vvn
on	on	ii
Sunday	sunday	npd1
,	,	y
April	april	npm1
15	15	mc
,	,	y
is	be	vbz
postponed	postpone	vvn
until	until	ii@_cs
June	june	npm1
.	.	y
<P>	<p>	null	
It	it	pph1
was	be	vbdz
reported	report	vvn
that	that	cst
the	the	at
decision	decision	nn1
was	be	vbdz
made	make	vvn
necessary	necessary	jj
by	by	ii
the	the	at
growing	growing	jj
unpopularity	unpopularity	nn1
of	of	io
the	the	at
Moscow	moscow	np1
Soviet	soviet	jj_nn1@
with	with	iw
the	the	at
Soviets	soviet	nn2
of	of	io
the	the	at
provinces	province	nn2
.	.	y
Other	other	jj
reports	report	nn2
,	,	y
less	less	rgr
convincing	convincing	jj
,	,	y
state	state	vv0
that	that	cst
the	the	at
Moscow	moscow	np1
Government	government	nn1
intends	intend	vvz
to	to	to
make	make	vvi
radical	radical	jj_nn1
changes	change	nn2
in	in	ii
the	the	at
Soviet	soviet	jj
constitution	constitution	nn1
in	in	bcl21
order	order	bcl22
to	to	to
diminish	diminish	vvi
the	the	at
power	power	nn1
of	of	io
the	the	at
provincial	provincial	jj
Soviets	soviet	nn2
,	,	y
already	already	rr
greatly	greatly	rr
curtailed	curtail	vvn_vvd
.	.	y
