@@301020	##	fo
Chi	chi	np1_nn1@
Fang	fang	nn1
Lai	lai	np1
,	,	y
Chinese	chinese	jj
research	research	nn1
fellow	fellow	nn1
at	at	ii
the	the	at
University	university	nn1
of	of	io
Pittsburgh	pittsburgh	np1
,	,	y
last	last	md
week	week	nnt1
reported	report	vvd_vvn
that	that	cst
he	he	pphs1
had	have	vhd
found	find	vvn
a	a	at1
good	good	jj
use	use	nn1
for	for	if
beryllium	beryllium	nn1
,	,	y
one	one	mc1
of	of	io
the	the	at
rare	rare	jj
earth	earth	nn1
metals	metal	nn2
.	.	y
By	by	ii
substituting	substitute	vvg
beryllium	beryllium	nn1
oxide	oxide	nn1
for	for	if
soda	soda	nn1
lime	lime	nn1
silicate	silicate	nn1_vv0	
he	he	pphs1
has	have	vhz
produced	produce	vvn
a	a	at1
harder	harder	jjr
,	,	y
more	more	rgr
refractory	refractory	jj
,	,	y
more	more	rgr
transparent	transparent	jj
glass	glass	nn1
than	than	csn
the	the	at
usual	usual	jj
kind	kind	nn1
.	.	y
It	it	pph1
lets	let	vvz
the	the	at
sun	sun	nn1
's	's	ge
ultraviolet	ultraviolet	jj
light	light	nn1_jj
pass	pass	vv0_nn1
through	through	rp@_ii
.	.	y
