@@220039	##	fo
Bowdoin	bowdoin	nn1_np1
College	college	nn1
at	at	ii
Brunswick	brunswick	np1
,	,	y
Maine	maine	np1
,	,	y
announces	announce	vvz
an	an	at1
Institute	institute	nn1
of	of	io
Modern	modern	jj
History	history	nn1
to	to	to
be	be	vbi
held	hold	vvn
from	from	ii
April	april	npm1
19	19	mc
to	to	ii
May	may	npm1
1	1	mc1
.	.	y
President	president	nnb
Harding	harding	np1
approves	approve	vvz
,	,	y
saying	say	vvg
:	:	y
"	"	"
We	we	ppis2
shall	shall	vm
from	from	ii
this	this	dd1
time	time	nnt1
forward	forward	rl
have	have	vh0
a	a	at1
much	much	rr
more	more	rgr
adequate	adequate	jj
conception	conception	nn1
of	of	io
the	the	at
essential	essential	jj
unity	unity	nn1
of	of	io
the	the	at
whole	whole	jj
story	story	nn1
of	of	io
mankind	mankind	nn1
.	.	y
.	.	y
.	.	y
.	.	y
"	"	"
