@@372296	##	fo
The	the	at
GENDER	gender	nn1
GAP	gap	nn1
that	that	cst
once	once	rr
existed	exist	vvd_vvn@
in	in	ii
teen	teen	nn1
alcohol	alcohol	nn1
use	use	nn1
is	be	vbz
closing	close	vvg_jj
,	,	y
according	according	ii21
to	to	ii22
a	a	at1
study	study	nn1
by	by	ii
the	the	at
National	national	jj
Center	center	nn1
on	on	ii
Addiction	addiction	nn1
and	and	cc
Substance	substance	nn1
Abuse	abuse	nn1
at	at	ii
Columbia	columbia	np1
University	university	nn1
.	.	y
In	in	ii
1991	1991	mc
,	,	y
31%	31%	nnu
of	of	io
boys	boy	nn2
and	and	cc
22%	22%	nnu
of	of	io
girls	girl	nn2
in	in	ii
10th	10th	md
grade	grade	nn1
engaged	engage	vvn_vvd
in	in	ii
BINGE	binge	nn1
DRINKING	drinking	nn1_vvg
,	,	y
defined	define	vvn_vvd
as	as	csa
having	have	vhg
five	five	mc
or	or	cc
more	more	dar
drinks	drink	nn2
in	in	ii
a	a	at1
row	row	nn1
.	.	y
In	in	ii
1999	1999	mc
,	,	y
34%	34%	nnu
of	of	io
boys	boy	nn2
and	and	cc
31%	31%	nnu
of	of	io
girls	girl	nn2
were	be	vbdr
binge	binge	nn1
drinkers	drinker	nn2
.	.	y
Though	though	cs
an	an	at1
early	early	jj_rr
,	,	y
eye-popping	eye-popping	jj_nn1
stat	stat	nn1
from	from	ii
the	the	at
study	study	nn1
 -- 	--	nn1
that	that	cst_dd1
underage	underage	jj
drinkers	drinker	nn2
consume	consume	vv0
25%	25%	nnu
of	of	io
all	all	db
the	the	at
nation	nation	nn1
's	's	ge
alcohol	alcohol	nn1
 -- 	--	nn1
turned	turn	vvd_vvn
out	out	rp
to	to	to
be	be	vbi
overstated	overstate	vvn
(	(	y
it	it	pph1
's	be	vbz
actually	actually	rr
only	only	rr
half	half	db
that	that	dd1
)	)	y
,	,	y
the	the	at
problem	problem	nn1
is	be	vbz
still	still	rr
huge	huge	jj
:	:	y
more	more	dar
than	than	csn
5	5	mc
million	million	m
HIGH	high	jj
SCHOOL	school	nn1
STUDENTS	student	nn2
are	be	vbr
binge	binge	nn1_vv0
drinkers	drinker	nn2
.	.	y
