@@364947	##	fo
The	the	at
mother	mother	nn1
was	be	vbdz
healthy	healthy	jj
and	and	cc
the	the	at
pregnancy	pregnancy	nn1
normal	normal	jj
.	.	y
But	but	ccb
as	as	cs31
soon	soon	cs32
as	as	cs33
her	her	appge
baby	baby	nn1
was	be	vbdz
born	born	vvn
,	,	y
doctors	doctor	nn2
were	be	vbdr
struck	strike	vvn
by	by	ii
the	the	at
infant	infant	nn1
's	's	ge
extraordinary	extraordinary	jj
muscularity	muscularity	nn1
.	.	y
By	by	ii
7	7	mc
months	month	nnt2
,	,	y
he	he	pphs1
had	have	vhd
a	a	at1
bodybuilder	bodybuilder	nn1
's	's	ge
pumped-up	pumped-up	jj
proportions	proportion	nn2
.	.	y
Researchers	researcher	nn2
determined	determine	vvn_vvd@
that	that	cst
the	the	at
baby	baby	nn1
had	have	vhd
a	a	at1
double	double	jj
dose	dose	nn1
of	of	io
a	a	at1
mutation	mutation	nn1
that	that	cst_dd1
inactivates	inactivate	vvz
a	a	at1
protein	protein	nn1
that	that	cst_dd1
restrains	restrain	vvz
muscle	muscle	nn1
development	development	nn1
(	(	y
a	a	at1
mutation	mutation	nn1
also	also	rr
seen	see	vvn
in	in	ii
mice	mouse	nn2
and	and	cc
cattle	cattle	nn2
)	)	y
.	.	y
While	while	cs
scientists	scientist	nn2
hope	hope	vv0
that	that	cst_dd1
pinpointing	pinpoint	vvg
the	the	at
mutation	mutation	nn1
will	will	vm
help	help	vvi
them	them	ppho2
learn	learn	vvi
how	how	rrq
to	to	to
reverse	reverse	vvi
muscle	muscle	nn1
wasting	waste	vvg
from	from	ii
disease	disease	nn1
,	,	y
they	they	pphs2
also	also	rr
know	know	vv0
that	that	cst_dd1
someday	someday	rt
somebody	somebody	pn1
will	will	vm
try	try	vvi
to	to	to
parlay	parlay	vvi
it	it	pph1
into	into	ii
a	a	at1
performance-enhancing	performance-enhancing	jj
drug	drug	nn1
.	.	y
 -- 	--	nn1_jj
By	by	ii
David	david	np1
Bjerklie	bjerklie	np1	
