@@372791	##	fo
In	in	bcl21
order	order	bcl22
to	to	to
walk	walk	vvi
in	in	ii
GRADUATION	graduation	np1_nn1
ceremonies	ceremony	nn2
at	at	ii
14	14	mc
Los	los	np1
Angeles-area	angeles-area	np1
high	high	jj
schools	school	nn2
this	this	dd1
June	june	npm1
,	,	y
seniors	senior	nn2
must	must	vm
provide	provide	vvi
school	school	nn1
officials	official	nn2
with	with	iw
proof	proof	nn1
they	they	pphs2
will	will	vm
ATTEND	attend	vvi
COLLEGE	college	nn1
or	or	cc
trade	trade	nn1
school	school	nn1
,	,	y
enroll	enroll	vvi
in	in	ii
the	the	at
military	military	jj_nn1@
or	or	cc
take	take	vv0
on	on	rp
an	an	at1
apprenticeship	apprenticeship	nn1
or	or	cc
other	other	jj
training	training	nn1
.	.	y
Administrators	administrator	nn2
say	say	vv0
the	the	at
aim	aim	nn1
is	be	vbz
to	to	to
show	show	vvi
students	student	nn2
their	their	appge
post-high	post-high	jj	
school	school	nn1
options	option	nn2
.	.	y
Some	some	dd
students	student	nn2
have	have	vh0
objected	object	vvn
to	to	ii
the	the	at
PRESSURE	pressure	nn1
,	,	y
and	and	cc
civil	civil	jj
libertarians	libertarian	nn2
are	be	vbr
considering	consider	vvg_ii
a	a	at1
suit	suit	nn1
.	.	y
But	but	ccb
the	the	at
policy	policy	nn1
seems	seem	vvz
to	to	to
be	be	vbi
working	work	vvg
:	:	y
95%	95%	nnu
of	of	io
the	the	at
seniors	senior	nn2
have	have	vh0
committed	commit	vvn
to	to	ii
postsecondary	postsecondary	jj_nn1
plans	plan	nn2_vvz
so	so	rg
far	far	rr
,	,	y
up	up	rp
from	from	ii
54%	54%	nnu
last	last	md
year	year	nnt1
.	.	y
