@@372694	##	fo
Eighty-six	eighty-six	mc
percent	percent	nnu
of	of	io
moms	mom	nn2
think	think	vv0
they	they	pphs2
do	do	vd0
n't	n't	xx
get	get	vvi
enough	enough	dd
RESPECT	respect	nn1
,	,	y
according	according	ii21
to	to	ii22
a	a	at1
poll	poll	nn1
by	by	ii
Family	family	nn1
Circle	circle	nn1
magazine	magazine	nn1
.	.	y
And	and	cc
80%	80%	nnu
agree	agree	vv0
that	that	cst
moms	mom	nn2
who	who	pnqs
STAY	stay	vv0
HOME	home	rl
get	get	vv0
even	even	rr
less	less	rrr_dar
.	.	y
Even	even	rr21
so	so	rr22
,	,	y
77%	77%	nnu
of	of	io
mothers	mother	nn2
who	who	pnqs
work	work	vv0
full	full	jj
time	time	nnt1
would	would	vm
rather	rather	rr@
stay	stay	vvi
home	home	rl
if	if	cs
they	they	pphs2
could	could	vm
.	.	y
Moms	mom	nn2
in	in	ii
both	both	db2
camps	camp	nn2
are	be	vbr
a	a	rr21
bit	bit	rr22
defensive	defensive	jj
:	:	y
73%	73%	nnu
of	of	io
those	those	dd2
at	at	ii
home	home	nn1
think	think	vv0
WORKING	work	vvg_jj@
moms	mom	nn2
look	look	vv0
down	down	rp
on	on	ii
them	them	ppho2
,	,	y
and	and	cc
66%	66%	nnu
of	of	io
those	those	dd2
who	who	pnqs
work	work	vv0
feel	feel	vv0
the	the	at
same	same	da
way	way	nn1
about	about	ii
moms	mom	nn2
who	who	pnqs
are	be	vbr
at	at	ii
home	home	nn1
.	.	y
The	the	at
main	main	jj
message	message	nn1
,	,	y
however	however	rr
,	,	y
is	be	vbz
a	a	at1
positive	positive	jj
one	one	pn1
:	:	y
while	while	cs
70%	70%	nnu
of	of	io
mothers	mother	nn2
say	say	vv0
that	that	dd1
being	be	vbg
a	a	at1
mom	mom	nn1
is	be	vbz
much	much	rr_da1
more	more	rgr_dar
DEMANDING	demanding	jj@	
than	than	csn
they	they	pphs2
expected	expect	vvd
,	,	y
92%	92%	nnu
say	say	vv0
it	it	pph1
is	be	vbz
also	also	rr
much	much	rr_da1
more	more	rgr_dar
REWARDING	reward	jj	
.	.	y
